mu_true,sigma_true,target,backend,n,coverage,coverage_se,z_vs_nominal,mean_width,median_width,bias,rmse,frac_no_overlap,frac_all_equal,mean_ess
26.0,1.5,q0.5,particle,150,0.96,0.016,0.625,2.077508,2.049698,0.000883,0.512144,0.0,0.0,5899.48104
26.0,1.5,q0.5,ref,150,0.96,0.016,0.625,,,0.000883,0.512144,0.0,0.0,5899.48104
26.0,1.5,q0.95,particle,150,0.92,0.022151,-1.354341,4.346562,4.283144,0.093451,0.895272,0.0,0.0,5899.48104
26.0,1.5,q0.95,ref,150,0.933333,0.020367,-0.818317,,,0.093451,0.895272,0.0,0.0,5899.48104
26.0,1.5,q0.99,particle,150,0.926667,0.021285,-1.096251,5.774137,5.73957,0.125745,1.154691,0.0,0.0,5899.48104
26.0,1.5,q0.99,ref,150,0.94,0.019391,-0.515711,,,0.125745,1.154691,0.0,0.0,5899.48104
26.0,3.0,q0.5,particle,150,0.973333,0.013154,1.773811,3.67474,3.545311,0.0041,0.783638,0.0,0.0,6854.009518
26.0,3.0,q0.5,ref,150,0.98,0.011431,2.624453,,,0.0041,0.783638,0.0,0.0,6854.009518
26.0,3.0,q0.95,particle,150,0.98,0.011431,2.624453,8.228765,7.523146,-0.066455,1.623924,0.0,0.0,6854.009518
26.0,3.0,q0.95,ref,150,0.98,0.011431,2.624453,,,-0.066455,1.623924,0.0,0.0,6854.009518
26.0,3.0,q0.99,particle,150,0.98,0.011431,2.624453,11.063475,10.10879,-0.101117,2.192399,0.0,0.0,6854.009518
26.0,3.0,q0.99,ref,150,0.966667,0.014657,1.137147,,,-0.101117,2.192399,0.0,0.0,6854.009518
26.0,6.0,q0.5,particle,150,0.953333,0.017222,0.193552,6.281969,6.435229,0.174188,1.494929,0.0,0.0,7403.568616
26.0,6.0,q0.5,ref,150,0.953333,0.017222,0.193552,,,0.174188,1.494929,0.0,0.0,7403.568616
26.0,6.0,q0.95,particle,150,0.96,0.016,0.625,14.530738,13.844157,-0.735615,2.892526,0.0,0.0,7403.568616
26.0,6.0,q0.95,ref,150,0.953333,0.017222,0.193552,,,-0.735615,2.892526,0.0,0.0,7403.568616
26.0,6.0,q0.99,particle,150,0.973333,0.013154,1.773811,19.526515,18.499235,-1.119741,3.904406,0.0,0.0,7403.568616
26.0,6.0,q0.99,ref,150,0.966667,0.014657,1.137147,,,-1.119741,3.904406,0.0,0.0,7403.568616
30.0,1.5,q0.5,particle,150,0.966667,0.014657,1.137147,2.099202,2.089869,-0.020177,0.433718,0.006667,0.0,6453.682647
30.0,1.5,q0.5,ref,150,0.966667,0.014657,1.137147,,,-0.020177,0.433718,0.006667,0.0,6453.682647
30.0,1.5,q0.95,particle,150,0.966667,0.014657,1.137147,4.522375,4.344758,0.103263,0.859005,0.006667,0.0,6453.682647
30.0,1.5,q0.95,ref,150,0.966667,0.014657,1.137147,,,0.103263,0.859005,0.006667,0.0,6453.682647
30.0,1.5,q0.99,particle,150,0.973333,0.013154,1.773811,6.216853,5.781594,0.149885,1.133814,0.006667,0.0,6453.682647
30.0,1.5,q0.99,ref,150,0.973333,0.013154,1.773811,,,0.149885,1.133814,0.006667,0.0,6453.682647
30.0,3.0,q0.5,particle,150,0.953333,0.017222,0.193552,3.736551,3.727116,-0.066961,0.906711,0.0,0.0,7209.472134
30.0,3.0,q0.5,ref,150,0.953333,0.017222,0.193552,,,-0.066961,0.906711,0.0,0.0,7209.472134
