policy,backend,target,n,ks_stat,ks_p,ks_band_95,chi2_p,rank_mean,rank_mean_se,coverage,coverage_se,passes_ks_05
uniform_grid,ref,mu,600,0.021836,0.931123,0.05544,0.867823,0.498426,0.011852,0.948333,0.009037,True
uniform_grid,ref,sigma,600,0.037244,0.367008,0.05544,0.023203,0.490215,0.011721,0.968333,0.007149,True
uniform_grid,ref,q0.5,600,0.021836,0.931123,0.05544,0.867823,0.498426,0.011852,0.948333,0.009037,True
uniform_grid,ref,q0.95,600,0.046705,0.141385,0.05544,0.277671,0.486036,0.011593,0.956667,0.008312,True
uniform_grid,ref,q0.99,600,0.04577,0.15693,0.05544,0.206581,0.48671,0.011594,0.958333,0.008158,True
uniform_grid,particle,mu,600,0.028384,0.708009,0.05544,0.902004,0.497383,0.011839,0.943333,0.009439,True
uniform_grid,particle,sigma,600,0.052143,0.073894,0.05544,0.137792,0.478464,0.012033,0.938333,0.00982,True
uniform_grid,particle,q0.5,600,0.028384,0.708009,0.05544,0.902004,0.497383,0.011839,0.943333,0.009439,True
uniform_grid,particle,q0.95,600,0.060474,0.02381,0.05544,0.585351,0.477275,0.011744,0.95,0.008898,False
uniform_grid,particle,q0.99,600,0.051529,0.0798,0.05544,0.478399,0.477632,0.011779,0.95,0.008898,True
entropy_vector,ref,mu,600,0.039375,0.302114,0.05544,0.517989,0.480942,0.011713,0.945,0.009307,True
entropy_vector,ref,sigma,600,0.021486,0.938942,0.05544,0.535833,0.492989,0.011704,0.951667,0.008756,True
entropy_vector,ref,q0.5,600,0.039375,0.302114,0.05544,0.517989,0.480942,0.011713,0.945,0.009307,True
entropy_vector,ref,q0.95,600,0.033574,0.4976,0.05544,0.643895,0.483338,0.011843,0.953333,0.008611,True
entropy_vector,ref,q0.99,600,0.028235,0.714083,0.05544,0.94958,0.485696,0.011841,0.955,0.008463,True
entropy_vector,particle,mu,600,0.047725,0.125874,0.05544,0.688151,0.478967,0.011786,0.945,0.009307,True
entropy_vector,particle,sigma,600,0.038361,0.331913,0.05544,0.423134,0.487572,0.011981,0.93,0.010416,True
entropy_vector,particle,q0.5,600,0.047725,0.125874,0.05544,0.688151,0.478967,0.011786,0.945,0.009307,True
entropy_vector,particle,q0.95,600,0.045486,0.161914,0.05544,0.899375,0.481542,0.011968,0.945,0.009307,True
entropy_vector,particle,q0.99,600,0.039844,0.288964,0.05544,0.76793,0.483094,0.012004,0.938333,0.00982,True
