sigma_true,arm,n,cov_particle,cov_reference,cov_diff,cov_diff_se,abs_rank_diff,sd_ratio,ess,n_resamples
0.3,N=10k no-rejuv,150,0.8733,0.9533,-0.08,0.0242,0.0905,0.983,26.5526,0.0
0.3,N=10k rejuv,150,0.6467,0.9533,-0.3067,0.0389,0.148,0.9578,844.9876,5.44
0.3,N=10k rejuv KL=0.02,150,0.9067,0.9533,-0.0467,0.0197,0.0475,0.9725,2339.8994,16.44
0.3,N=40k rejuv,150,0.68,0.9533,-0.2733,0.0365,0.1071,0.9573,2772.4247,5.4533
0.3,N=160k rejuv,150,0.7933,0.9533,-0.16,0.03,0.0948,0.9671,7573.9815,5.46
3.0,N=10k no-rejuv,50,0.98,0.98,0.0,0.0,0.0086,1.0004,865.2172,0.0
3.0,N=10k rejuv,50,0.98,0.98,0.0,0.0,0.0043,0.9959,6602.7433,7.92
3.0,N=10k rejuv KL=0.02,50,0.98,0.98,0.0,0.0,0.008,1.0046,6605.0626,12.22
3.0,N=40k rejuv,50,0.98,0.98,0.0,0.0,0.0028,1.0,26159.411,7.98
3.0,N=160k rejuv,50,0.98,0.98,0.0,0.0,0.0012,0.9991,103494.6188,7.96
