sigma_true,mu_true,no_overlap_rate
0.3,14.0,1.0
0.6,14.0,1.0
1.2,14.0,1.0
3.0,14.0,0.23
6.0,14.0,0.0
12.0,14.0,0.0
0.3,18.0,0.53
0.6,18.0,0.2
1.2,18.0,0.0
3.0,18.0,0.0
6.0,18.0,0.0
12.0,18.0,0.0
0.3,22.0,0.5
0.6,22.0,0.07
1.2,22.0,0.0
3.0,22.0,0.0
6.0,22.0,0.0
12.0,22.0,0.0
0.3,26.0,0.7
0.6,26.0,0.07
1.2,26.0,0.0
3.0,26.0,0.0
6.0,26.0,0.0
12.0,26.0,0.0
0.3,30.0,0.43
0.6,30.0,0.0
1.2,30.0,0.0
3.0,30.0,0.0
6.0,30.0,0.0
12.0,30.0,0.0
0.3,34.0,0.67
0.6,34.0,0.07
1.2,34.0,0.0
3.0,34.0,0.0
6.0,34.0,0.0
12.0,34.0,0.0
0.3,38.0,0.4
0.6,38.0,0.07
1.2,38.0,0.0
3.0,38.0,0.0
6.0,38.0,0.0
12.0,38.0,0.0
0.3,42.0,0.4
0.6,42.0,0.1
1.2,42.0,0.0
3.0,42.0,0.0
6.0,42.0,0.0
12.0,42.0,0.0
0.3,46.0,1.0
0.6,46.0,1.0
1.2,46.0,0.97
3.0,46.0,0.17
6.0,46.0,0.03
12.0,46.0,0.0
