dgp,target,physical,pseudo_min,pseudo_max,spread,spread_se,policy_at_min,policy_at_max,max_abs_pseudo_minus_physical
tail_1.0,q0.99,42.859,37.125,39.592,2.467,0.079,fixed_design,uniform_grid,5.734
robit_1.0,q0.99,42.55,37.648,39.96,2.312,0.05,fixed_design,uniform_grid,4.902
tail_1.0,q0.95,37.935,35.045,36.925,1.88,0.058,fixed_design,uniform_grid,2.89
robit_1.0,q0.95,36.505,35.408,37.053,1.645,0.038,fixed_design,uniform_grid,1.096
robit_0.5,q0.99,39.738,37.307,38.699,1.392,0.043,fixed_design,uniform_grid,2.431
cloglog_1.0,q0.99,34.935,36.048,37.245,1.197,0.082,entropy_q0.95,uniform_grid,2.31
tail_0.5,q0.99,39.919,37.076,38.266,1.191,0.102,fixed_design,entropy_q0.95,2.843
robit_0.5,q0.95,35.577,35.167,36.156,0.989,0.032,fixed_design,uniform_grid,0.579
tail_0.5,q0.95,36.435,35.008,35.908,0.9,0.029,fixed_design,uniform_grid,1.427
cloglog_1.0,q0.95,33.815,34.121,34.936,0.815,0.063,entropy_q0.95,uniform_grid,1.122
logistic_1.0,q0.99,38.639,37.305,38.101,0.795,0.021,fixed_design,uniform_grid,1.333
cloglog_0.5,q0.99,36.197,36.489,37.195,0.706,0.041,entropy_q0.95,uniform_grid,0.998
logistic_1.0,q0.95,35.535,35.166,35.73,0.565,0.016,fixed_design,uniform_grid,0.37
tail_1.0,q0.5,30.0,29.937,30.487,0.551,0.044,entropy_q0.95,uniform_grid,0.487
cloglog_0.5,q0.95,34.335,34.506,34.993,0.487,0.03,entropy_q0.95,uniform_grid,0.658
logistic_0.5,q0.99,37.816,37.141,37.577,0.437,0.013,fixed_design,uniform_grid,0.675
beta_cdf,q0.99,38.928,38.591,38.961,0.37,0.018,uniform_grid,fixed_design,0.337
cloglog_1.0,q0.5,30.0,29.364,29.699,0.336,0.023,uniform_grid,fixed_design,0.636
logistic_0.5,q0.95,35.212,35.049,35.358,0.309,0.01,fixed_design,uniform_grid,0.163
robit_1.0,q0.5,30.0,29.774,30.037,0.264,0.034,entropy_q0.95,uniform_grid,0.226
tail_0.5,q0.5,30.0,29.997,30.25,0.253,0.024,entropy_q0.95,uniform_grid,0.25
beta_cdf,q0.95,36.274,35.947,36.197,0.25,0.014,uniform_grid,entropy_q0.95,0.327
cloglog_0.5,q0.5,30.0,29.679,29.849,0.17,0.012,uniform_grid,fixed_design,0.321
beta_cdf,q0.5,29.356,29.416,29.567,0.151,0.007,fixed_design,uniform_grid,0.211
robit_0.5,q0.5,30.0,29.89,30.017,0.127,0.021,entropy_q0.95,uniform_grid,0.11
mixture_1.0,q0.99,36.678,36.772,36.884,0.113,0.003,uniform_grid,fixed_design,0.206
logistic_1.0,q0.5,30.0,29.926,30.009,0.083,0.013,entropy_q0.95,uniform_grid,0.074
mixture_1.0,q0.95,34.801,34.788,34.868,0.08,0.002,uniform_grid,fixed_design,0.066
mixture_0.5,q0.99,36.83,36.877,36.932,0.055,0.001,uniform_grid,fixed_design,0.101
logistic_0.5,q0.5,30.0,29.96,30.003,0.043,0.007,entropy_q0.95,uniform_grid,0.04
mixture_0.5,q0.95,34.867,34.862,34.901,0.039,0.001,uniform_grid,fixed_design,0.034
mixture_1.0,q0.5,30.0,29.999,30.013,0.014,0.002,uniform_grid,entropy_q0.95,0.013
mixture_0.5,q0.5,30.0,29.999,30.006,0.007,0.001,entropy_vector,entropy_q0.95,0.006
probit,q0.99,36.979,36.979,36.979,0.0,0.0,fixed_design,entropy_q0.95,0.0
probit,q0.95,34.935,34.935,34.935,0.0,0.0,fixed_design,entropy_q0.95,0.0
probit,q0.5,30.0,30.0,30.0,0.0,0.0,entropy_q0.95,fixed_design,0.0
