block,n,posterior,dgp,target,policy,false_certainty,coverage
I,50,reference,beta_cdf,q0.95,entropy_q0.95,0.067,0.933
I,50,reference,beta_cdf,q0.95,entropy_vector,0.033,0.967
I,50,reference,beta_cdf,q0.95,fixed_design,0.0,1.0
I,50,reference,beta_cdf,q0.95,uniform_grid,0.033,0.9
I,50,reference,beta_cdf,q0.99,entropy_q0.95,0.067,0.933
I,50,reference,beta_cdf,q0.99,entropy_vector,0.033,0.967
I,50,reference,beta_cdf,q0.99,fixed_design,0.0,1.0
I,50,reference,beta_cdf,q0.99,uniform_grid,0.033,0.9
I,50,reference,cloglog_0.5,q0.95,entropy_q0.95,0.0,1.0
I,50,reference,cloglog_0.5,q0.95,entropy_vector,0.0,1.0
I,50,reference,cloglog_0.5,q0.95,fixed_design,0.0,0.933
I,50,reference,cloglog_0.5,q0.95,uniform_grid,0.0,0.933
I,50,reference,cloglog_0.5,q0.99,entropy_q0.95,0.067,0.933
I,50,reference,cloglog_0.5,q0.99,entropy_vector,0.0,1.0
I,50,reference,cloglog_0.5,q0.99,fixed_design,0.0,0.933
I,50,reference,cloglog_0.5,q0.99,uniform_grid,0.0,0.933
I,50,reference,cloglog_1.0,q0.95,entropy_q0.95,0.033,0.967
I,50,reference,cloglog_1.0,q0.95,entropy_vector,0.0,1.0
I,50,reference,cloglog_1.0,q0.95,fixed_design,0.0,0.933
I,50,reference,cloglog_1.0,q0.95,uniform_grid,0.0,0.933
I,50,reference,cloglog_1.0,q0.99,entropy_q0.95,0.033,0.933
I,50,reference,cloglog_1.0,q0.99,entropy_vector,0.0,1.0
I,50,reference,cloglog_1.0,q0.99,fixed_design,0.0,0.867
I,50,reference,cloglog_1.0,q0.99,uniform_grid,0.0,0.8
I,50,reference,logistic_0.5,q0.95,entropy_q0.95,0.033,0.967
I,50,reference,logistic_0.5,q0.95,entropy_vector,0.033,0.967
I,50,reference,logistic_0.5,q0.95,fixed_design,0.0,0.967
I,50,reference,logistic_0.5,q0.95,uniform_grid,0.0,0.833
I,50,reference,logistic_0.5,q0.99,entropy_q0.95,0.067,0.933
I,50,reference,logistic_0.5,q0.99,entropy_vector,0.033,0.967
I,50,reference,logistic_0.5,q0.99,fixed_design,0.0,0.967
I,50,reference,logistic_0.5,q0.99,uniform_grid,0.067,0.767
I,50,reference,logistic_1.0,q0.95,entropy_q0.95,0.067,0.933
I,50,reference,logistic_1.0,q0.95,entropy_vector,0.033,0.967
I,50,reference,logistic_1.0,q0.95,fixed_design,0.0,0.967
I,50,reference,logistic_1.0,q0.95,uniform_grid,0.0,0.867
I,50,reference,logistic_1.0,q0.99,entropy_q0.95,0.1,0.9
I,50,reference,logistic_1.0,q0.99,entropy_vector,0.067,0.933
I,50,reference,logistic_1.0,q0.99,fixed_design,0.033,0.967
I,50,reference,logistic_1.0,q0.99,uniform_grid,0.067,0.8
I,50,reference,mixture_0.5,q0.95,entropy_q0.95,0.067,0.933
I,50,reference,mixture_0.5,q0.95,entropy_vector,0.033,0.967
I,50,reference,mixture_0.5,q0.95,fixed_design,0.0,0.967
I,50,reference,mixture_0.5,q0.95,uniform_grid,0.0,0.9
I,50,reference,mixture_0.5,q0.99,entropy_q0.95,0.067,0.9
I,50,reference,mixture_0.5,q0.99,entropy_vector,0.033,0.967
I,50,reference,mixture_0.5,q0.99,fixed_design,0.0,0.967
I,50,reference,mixture_0.5,q0.99,uniform_grid,0.0,0.933
I,50,reference,mixture_1.0,q0.95,entropy_q0.95,0.067,0.933
I,50,reference,mixture_1.0,q0.95,entropy_vector,0.033,0.967
I,50,reference,mixture_1.0,q0.95,fixed_design,0.0,0.967
I,50,reference,mixture_1.0,q0.95,uniform_grid,0.0,0.9
I,50,reference,mixture_1.0,q0.99,entropy_q0.95,0.033,0.967
I,50,reference,mixture_1.0,q0.99,entropy_vector,0.033,0.967
I,50,reference,mixture_1.0,q0.99,fixed_design,0.0,0.967
I,50,reference,mixture_1.0,q0.99,uniform_grid,0.0,0.933
I,50,reference,probit,q0.95,entropy_q0.95,0.067,0.933
I,50,reference,probit,q0.95,entropy_vector,0.033,0.967
I,50,reference,probit,q0.95,fixed_design,0.0,0.967
I,50,reference,probit,q0.95,uniform_grid,0.0,0.9
I,50,reference,probit,q0.99,entropy_q0.95,0.1,0.9
I,50,reference,probit,q0.99,entropy_vector,0.033,0.967
I,50,reference,probit,q0.99,fixed_design,0.0,0.967
I,50,reference,probit,q0.99,uniform_grid,0.0,0.9
I,50,reference,robit_0.5,q0.95,entropy_q0.95,0.067,0.933
I,50,reference,robit_0.5,q0.95,entropy_vector,0.033,0.967
I,50,reference,robit_0.5,q0.95,fixed_design,0.0,0.967
I,50,reference,robit_0.5,q0.95,uniform_grid,0.0,0.867
I,50,reference,robit_0.5,q0.99,entropy_q0.95,0.2,0.8
I,50,reference,robit_0.5,q0.99,entropy_vector,0.067,0.9
I,50,reference,robit_0.5,q0.99,fixed_design,0.067,0.9
I,50,reference,robit_0.5,q0.99,uniform_grid,0.067,0.833
I,50,reference,robit_1.0,q0.95,entropy_q0.95,0.1,0.9
I,50,reference,robit_1.0,q0.95,entropy_vector,0.1,0.9
I,50,reference,robit_1.0,q0.95,fixed_design,0.067,0.933
I,50,reference,robit_1.0,q0.95,uniform_grid,0.033,0.833
I,50,reference,robit_1.0,q0.99,entropy_q0.95,0.2,0.7
I,50,reference,robit_1.0,q0.99,entropy_vector,0.133,0.5
I,50,reference,robit_1.0,q0.99,fixed_design,0.1,0.833
I,50,reference,robit_1.0,q0.99,uniform_grid,0.033,0.7
I,50,reference,tail_0.5,q0.95,entropy_q0.95,0.133,0.867
I,50,reference,tail_0.5,q0.95,entropy_vector,0.133,0.867
I,50,reference,tail_0.5,q0.95,fixed_design,0.067,0.933
I,50,reference,tail_0.5,q0.95,uniform_grid,0.067,0.8
I,50,reference,tail_0.5,q0.99,entropy_q0.95,0.2,0.8
I,50,reference,tail_0.5,q0.99,entropy_vector,0.133,0.833
I,50,reference,tail_0.5,q0.99,fixed_design,0.1,0.867
I,50,reference,tail_0.5,q0.99,uniform_grid,0.067,0.767
I,50,reference,tail_1.0,q0.95,entropy_q0.95,0.2,0.8
I,50,reference,tail_1.0,q0.95,entropy_vector,0.233,0.667
I,50,reference,tail_1.0,q0.95,fixed_design,0.2,0.8
I,50,reference,tail_1.0,q0.95,uniform_grid,0.067,0.633
I,50,reference,tail_1.0,q0.99,entropy_q0.95,0.233,0.6
I,50,reference,tail_1.0,q0.99,entropy_vector,0.267,0.4
I,50,reference,tail_1.0,q0.99,fixed_design,0.167,0.6
I,50,reference,tail_1.0,q0.99,uniform_grid,0.067,0.5
