setting,policy,target,mse
probit_dep_well,dror_steinberg,mu,0.713
probit_dep_well,entropy_vector,mu,0.621
probit_dep_well,entropy_mu,mu,0.573
probit_dep_well,entropy_sigma,mu,1.370
probit_dep_well,entropy_q0.95,mu,1.185
probit_dep_well,dror_steinberg,sigma,0.601
probit_dep_well,entropy_vector,sigma,0.578
probit_dep_well,entropy_mu,sigma,1.130
probit_dep_well,entropy_sigma,sigma,0.732
probit_dep_well,entropy_q0.95,sigma,0.799
probit_dep_well,dror_steinberg,q0.95,2.395
probit_dep_well,entropy_vector,q0.95,2.085
probit_dep_well,entropy_mu,q0.95,4.076
probit_dep_well,entropy_sigma,q0.95,3.179
probit_dep_well,entropy_q0.95,q0.95,1.927
probit_dep_well,dror_steinberg,q0.99,4.054
probit_dep_well,entropy_vector,q0.99,3.614
probit_dep_well,entropy_mu,q0.99,7.321
probit_dep_well,entropy_sigma,q0.99,5.103
probit_dep_well,entropy_q0.95,q0.99,3.470
probit_ind_well,dror_steinberg,mu,0.723
probit_ind_well,entropy_vector,mu,0.665
probit_ind_well,entropy_mu,mu,0.525
probit_ind_well,entropy_sigma,mu,2.061
probit_ind_well,entropy_q0.95,mu,1.303
probit_ind_well,dror_steinberg,sigma,0.614
probit_ind_well,entropy_vector,sigma,0.713
probit_ind_well,entropy_mu,sigma,0.973
probit_ind_well,entropy_sigma,sigma,0.911
probit_ind_well,entropy_q0.95,sigma,0.787
probit_ind_well,dror_steinberg,q0.95,2.246
probit_ind_well,entropy_vector,q0.95,2.660
probit_ind_well,entropy_mu,q0.95,3.482
probit_ind_well,entropy_sigma,q0.95,4.409
probit_ind_well,entropy_q0.95,q0.95,1.909
probit_ind_well,dror_steinberg,q0.99,3.847
probit_ind_well,entropy_vector,q0.99,4.615
probit_ind_well,entropy_mu,q0.99,6.250
probit_ind_well,entropy_sigma,q0.99,6.823
probit_ind_well,entropy_q0.95,q0.99,3.397
probit_ind_well,bruceton,mu,0.576
probit_ind_well,bruceton,sigma,1.267
probit_ind_well,bruceton,q0.95,4.055
probit_ind_well,bruceton,q0.99,7.505
probit_dep_poor,dror_steinberg,mu,0.830
probit_dep_poor,entropy_vector,mu,0.810
probit_dep_poor,entropy_mu,mu,0.597
probit_dep_poor,entropy_sigma,mu,1.408
probit_dep_poor,entropy_q0.95,mu,1.413
probit_dep_poor,dror_steinberg,sigma,0.601
probit_dep_poor,entropy_vector,sigma,0.679
probit_dep_poor,entropy_mu,sigma,1.005
probit_dep_poor,entropy_sigma,sigma,0.652
probit_dep_poor,entropy_q0.95,sigma,0.958
probit_dep_poor,dror_steinberg,q0.95,2.257
probit_dep_poor,entropy_vector,q0.95,2.621
probit_dep_poor,entropy_mu,q0.95,3.700
probit_dep_poor,entropy_sigma,q0.95,3.400
probit_dep_poor,entropy_q0.95,q0.95,2.091
probit_dep_poor,dror_steinberg,q0.99,3.817
probit_dep_poor,entropy_vector,q0.99,4.460
probit_dep_poor,entropy_mu,q0.99,6.575
probit_dep_poor,entropy_sigma,q0.99,5.265
probit_dep_poor,entropy_q0.95,q0.99,3.872
probit_ind_poor,dror_steinberg,mu,0.777
probit_ind_poor,entropy_vector,mu,0.744
probit_ind_poor,entropy_mu,mu,0.584
probit_ind_poor,entropy_sigma,mu,1.805
probit_ind_poor,entropy_q0.95,mu,1.191
probit_ind_poor,dror_steinberg,sigma,0.683
probit_ind_poor,entropy_vector,sigma,0.633
probit_ind_poor,entropy_mu,sigma,1.050
probit_ind_poor,entropy_sigma,sigma,1.053
probit_ind_poor,entropy_q0.95,sigma,0.820
probit_ind_poor,dror_steinberg,q0.95,2.553
probit_ind_poor,entropy_vector,q0.95,2.448
probit_ind_poor,entropy_mu,q0.95,4.037
probit_ind_poor,entropy_sigma,q0.95,5.119
probit_ind_poor,entropy_q0.95,q0.95,1.694
probit_ind_poor,dror_steinberg,q0.99,4.371
probit_ind_poor,entropy_vector,q0.99,4.155
probit_ind_poor,entropy_mu,q0.99,7.118
probit_ind_poor,entropy_sigma,q0.99,8.130
probit_ind_poor,entropy_q0.95,q0.99,3.203
probit_ind_poor,bruceton,mu,0.603
probit_ind_poor,bruceton,sigma,1.301
probit_ind_poor,bruceton,q0.95,4.539
probit_ind_poor,bruceton,q0.99,8.233
beta_ind_well,dror_steinberg,mu,1.435
beta_ind_well,entropy_vector,mu,1.114
beta_ind_well,entropy_mu,mu,1.016
beta_ind_well,entropy_sigma,mu,2.528
beta_ind_well,entropy_q0.95,mu,1.975
beta_ind_well,dror_steinberg,sigma,1.078
beta_ind_well,entropy_vector,sigma,1.022
beta_ind_well,entropy_mu,sigma,1.745
beta_ind_well,entropy_sigma,sigma,1.355
beta_ind_well,entropy_q0.95,sigma,1.343
beta_ind_well,dror_steinberg,q0.01,6.978
beta_ind_well,entropy_vector,q0.01,6.868
beta_ind_well,entropy_mu,q0.01,10.160
beta_ind_well,entropy_sigma,q0.01,6.821
beta_ind_well,entropy_q0.95,q0.01,13.307
beta_ind_well,dror_steinberg,q0.05,3.790
beta_ind_well,entropy_vector,q0.05,3.486
beta_ind_well,entropy_mu,q0.05,5.047
beta_ind_well,entropy_sigma,q0.05,4.863
beta_ind_well,entropy_q0.95,q0.05,7.890
beta_ind_well,dror_steinberg,q0.95,4.912
beta_ind_well,entropy_vector,q0.95,4.198
beta_ind_well,entropy_mu,q0.95,6.918
beta_ind_well,entropy_sigma,q0.95,6.997
beta_ind_well,entropy_q0.95,q0.95,3.168
beta_ind_well,dror_steinberg,q0.99,8.070
beta_ind_well,entropy_vector,q0.99,7.119
