 n  target_p  argmax_r  argmax_x  utility
 5      0.50      0.70 30.311833 0.073294
 5      0.90      0.86 33.003206 0.093221
 5      0.95      0.86 33.003206 0.091326
 5      0.99      0.90 33.972004 0.085016
15      0.50      0.42 28.547517 0.037928
15      0.90      0.94 37.302455 0.042993
15      0.95      0.94 37.302455 0.041916
15      0.99      0.94 37.302455 0.042833
30      0.50      0.38 29.029250 0.031256
30      0.90      0.90 34.903724 0.023732
30      0.95      0.94 35.913885 0.021660
30      0.99      0.94 35.913885 0.021325

quadrature density integral: min=0.9905 max=1.0084
  manifest -> /home/claude/thesis-reliability/results/manifests/phase1_utility_surface.json
