setting,policy,n,target,estimator,mse,mse_se,bias,rmse,n_used,n_total,coverage,coverage_se,mean_width
probit_dep_well,dror_steinberg,20,mu,bayes,1.1578078513417918,0.10261662952509797,0.016284281265497056,1.0760148007075887,250,250,0.948,0.014042222046385685,4.738127763718932
probit_dep_well,dror_steinberg,20,sigma,bayes,1.1041180862760962,0.10490370793888006,-0.03819012967675066,1.0507702347688082,250,250,0.964,0.011782020200288238,6.1420842442623735
probit_dep_well,dror_steinberg,20,q0.5,bayes,1.1578078513417918,0.10261662952509797,0.016284281265497056,1.0760148007075887,250,250,0.948,0.014042222046385685,4.738127763718932
probit_dep_well,dror_steinberg,20,q0.95,bayes,4.137944348936302,0.41345324721869076,-0.04064272516375753,2.034193783526118,250,250,0.972,0.010433791257256401,11.474830200725355
probit_dep_well,dror_steinberg,20,q0.99,bayes,7.1162676373316485,0.7209077333511851,-0.0686879248845825,2.667633340122223,250,250,0.968,0.011131217363792701,15.380069096010049
probit_dep_well,dror_steinberg,20,mu,mle,1.2624371242020584,0.11313417241889562,-0.012292656521912661,1.1235822730009843,250,250,,,
probit_dep_well,dror_steinberg,20,sigma,mle,1.3733106197975655,0.10916586838711476,-0.3928694632889482,1.1718833644171103,250,250,,,
probit_dep_well,dror_steinberg,20,q0.5,mle,1.2624371242020584,0.11313417241889562,-0.012292656521912661,1.1235822730009843,250,250,,,
probit_dep_well,dror_steinberg,20,q0.95,mle,4.84345443702326,0.4318225683644026,-0.658505418131221,2.2007849592868585,250,250,,,
probit_dep_well,dror_steinberg,20,q0.99,mle,8.504374869497694,0.7513184423377022,-0.9262436972197263,2.916226134835516,250,250,,,
probit_dep_well,dror_steinberg,20,q0.01,bayes,,,,,0,250,,,
probit_dep_well,dror_steinberg,20,q0.05,bayes,,,,,0,250,,,
probit_dep_well,dror_steinberg,20,q0.01,mle,,,,,0,250,,,
probit_dep_well,dror_steinberg,20,q0.05,mle,,,,,0,250,,,
probit_dep_well,dror_steinberg,30,mu,bayes,0.800024437872252,0.06385445681674112,0.06668715972347973,0.8944408520814845,250,250,0.936,0.01547953487673321,3.772281733003284
probit_dep_well,dror_steinberg,30,sigma,bayes,0.7697469092155983,0.06342611177376671,0.018024096034833317,0.8773522150286043,250,250,0.968,0.011131217363792701,4.483325910682528
probit_dep_well,dror_steinberg,30,q0.5,bayes,0.800024437872252,0.06385445681674112,0.06668715972347973,0.8944408520814845,250,250,0.936,0.01547953487673321,3.772281733003284
probit_dep_well,dror_steinberg,30,q0.95,bayes,2.7929578204172283,0.2573526152235359,0.10341286566410096,1.6712144746911535,250,250,0.952,0.013519763311537675,8.446586064637525
probit_dep_well,dror_steinberg,30,q0.99,bayes,4.835929553564523,0.4401252128405609,0.11281622433405161,2.19907470395267,250,250,0.96,0.01239354670786374,11.260657459290817
probit_dep_well,dror_steinberg,30,mu,mle,0.8463370406015759,0.06823491017400247,0.0501394035966463,0.919965782299307,250,250,,,
probit_dep_well,dror_steinberg,30,sigma,mle,0.8454658945575526,0.06598295304743464,-0.21834033209254833,0.9194921938535164,250,250,,,
probit_dep_well,dror_steinberg,30,q0.5,mle,0.8463370406015759,0.06823491017400247,0.0501394035966463,0.919965782299307,250,250,,,
probit_dep_well,dror_steinberg,30,q0.95,mle,2.9359560201491424,0.26683894439493644,-0.30899848355557413,1.7134631656820472,250,250,,,
probit_dep_well,dror_steinberg,30,q0.99,mle,5.1421204917830785,0.4580900758383506,-0.4577961637842273,2.2676244159434953,250,250,,,
probit_dep_well,dror_steinberg,30,q0.01,bayes,,,,,0,250,,,
probit_dep_well,dror_steinberg,30,q0.05,bayes,,,,,0,250,,,
probit_dep_well,dror_steinberg,30,q0.01,mle,,,,,0,250,,,
probit_dep_well,dror_steinberg,30,q0.05,mle,,,,,0,250,,,
probit_dep_well,entropy_vector,20,mu,bayes,1.1036991779837806,0.09754496818817228,0.011874576723217345,1.0505708819417092,250,250,0.972,0.010433791257256401,4.605479112314501
probit_dep_well,entropy_vector,20,sigma,bayes,1.0645538165781794,0.11175366825184133,-0.09928327499461168,1.0317721728066616,250,250,0.98,0.008854377448471465,6.004348820813695
probit_dep_well,entropy_vector,20,q0.5,bayes,1.1036991779837806,0.09754496818817228,0.011874576723217345,1.0505708819417092,250,250,0.972,0.010433791257256401,4.605479112314501
probit_dep_well,entropy_vector,20,q0.95,bayes,3.9898165233400116,0.3626342274039857,-0.14291759237325327,1.9974525084066483,250,250,0.972,0.010433791257256401,10.996785476638157
probit_dep_well,entropy_vector,20,q0.99,bayes,6.869451647952612,0.6556690916001692,-0.21404535276861525,2.6209638776512376,250,250,0.988,0.006886508549330352,14.883235147412686
probit_dep_well,entropy_vector,20,mu,mle,1.1791609468980122,0.1058844099667026,0.0021440999212343284,1.0858917749472146,250,250,,,
probit_dep_well,entropy_vector,20,sigma,mle,1.3254135788567718,0.12027621407281282,-0.44281544130868944,1.1512660764813545,250,250,,,
