policy,target,mse_n20,mse_n30,mse_n50,monotone_decreasing
dror_steinberg,mu,1.1804500998379195,0.7973235872060397,0.5044627791468225,True
dror_steinberg,q0.5,1.1804500998379195,0.7973235872060397,0.5044627791468225,True
dror_steinberg,q0.95,3.858575853667261,2.618420020537095,1.2420244034881116,True
dror_steinberg,q0.99,6.392540031673726,4.356623518863422,1.9870407918789377,True
dror_steinberg,sigma,0.8949895590650446,0.6269734198900884,0.28121075319643457,True
entropy_q0.95,mu,1.7914830493773513,1.5831791743623165,1.306525709040119,True
entropy_q0.95,q0.5,1.7914830493773513,1.5831791743623165,1.306525709040119,True
entropy_q0.95,q0.95,2.7364011517169615,1.622910468177412,1.2092684341647106,True
entropy_q0.95,q0.99,5.190274828842803,3.2926485122616964,2.4405253459123415,True
entropy_q0.95,sigma,1.3206469923256179,1.0411795031587023,0.8064063914880254,True
entropy_vector,mu,0.85200795371877,0.6893727256467257,0.39675668654026197,True
entropy_vector,q0.5,0.85200795371877,0.6893727256467257,0.39675668654026197,True
entropy_vector,q0.95,4.139568998342304,2.672564791139266,1.274620914298577,True
entropy_vector,q0.99,7.6199417432996395,4.732079514162143,2.2211401482521076,True
entropy_vector,sigma,1.3379697515360558,0.7876015475996694,0.36671472642138747,True
