policy,n,target,mse,mse_se,coverage,mean_width
dror_steinberg,20,mu,1.1804500998379195,0.1884219545496624,0.94,4.886393088952689
dror_steinberg,30,mu,0.7973235872060397,0.1162233189414563,0.95,3.8168826197229326
dror_steinberg,50,mu,0.5044627791468225,0.07486012876638451,0.95,2.8990656682352305
dror_steinberg,20,q0.5,1.1804500998379195,0.1884219545496624,0.94,4.886393088952689
dror_steinberg,30,q0.5,0.7973235872060397,0.1162233189414563,0.95,3.8168826197229326
dror_steinberg,50,q0.5,0.5044627791468225,0.07486012876638451,0.95,2.8990656682352305
dror_steinberg,20,q0.95,3.858575853667261,0.6480206596487761,0.95,11.564690505037937
dror_steinberg,30,q0.95,2.618420020537095,0.43602605063112776,0.95,8.310906802625247
dror_steinberg,50,q0.95,1.2420244034881116,0.19800541896112075,0.97,5.825950050129621
dror_steinberg,20,q0.99,6.392540031673726,1.0379197617736233,0.96,15.595656584518121
dror_steinberg,30,q0.99,4.356623518863422,0.7058775566365123,0.96,11.094101720258996
dror_steinberg,50,q0.99,1.9870407918789377,0.3173254155282669,0.96,7.706782512878079
dror_steinberg,20,sigma,0.8949895590650446,0.12766095682590983,0.98,6.373735805080738
dror_steinberg,30,sigma,0.6269734198900884,0.08234926722837863,0.98,4.452296242861841
dror_steinberg,50,sigma,0.28121075319643457,0.04157985313609313,0.97,3.06993181261806
entropy_q0.95,20,mu,1.7914830493773513,0.284715881623797,0.98,7.590546133984792
entropy_q0.95,30,mu,1.5831791743623165,0.2071736106039157,0.98,6.430766002226327
entropy_q0.95,50,mu,1.306525709040119,0.17036560160124395,0.98,4.947744146070846
entropy_q0.95,20,q0.5,1.7914830493773513,0.284715881623797,0.98,7.590546133984792
entropy_q0.95,30,q0.5,1.5831791743623165,0.2071736106039157,0.98,6.430766002226327
entropy_q0.95,50,q0.5,1.306525709040119,0.17036560160124395,0.98,4.947744146070846
entropy_q0.95,20,q0.95,2.7364011517169615,0.44429730509653415,0.95,9.149428223306032
entropy_q0.95,30,q0.95,1.622910468177412,0.25325495452580116,0.96,6.688201125602543
entropy_q0.95,50,q0.95,1.2092684341647106,0.17123157261485222,0.92,4.566432888748235
entropy_q0.95,20,q0.99,5.190274828842803,0.9022650314717848,0.96,13.379037768826144
entropy_q0.95,30,q0.99,3.2926485122616964,0.558159949163778,0.97,9.776929722556082
entropy_q0.95,50,q0.99,2.4405253459123415,0.3580601142806467,0.9,6.580167859166725
entropy_q0.95,20,sigma,1.3206469923256179,0.20838312913075124,0.96,7.386029991302633
entropy_q0.95,30,sigma,1.0411795031587023,0.16223884410870296,0.95,5.6416952147300785
entropy_q0.95,50,sigma,0.8064063914880254,0.11135613105874653,0.94,3.9241136991865835
entropy_vector,20,mu,0.85200795371877,0.11886106196095272,0.97,4.8816610445889985
entropy_vector,30,mu,0.6893727256467257,0.11021221585131055,0.94,3.7832513537335872
entropy_vector,50,mu,0.39675668654026197,0.056924238056282675,0.97,2.8983504561977433
entropy_vector,20,q0.5,0.85200795371877,0.11886106196095272,0.97,4.8816610445889985
entropy_vector,30,q0.5,0.6893727256467257,0.11021221585131055,0.94,3.7832513537335872
entropy_vector,50,q0.5,0.39675668654026197,0.056924238056282675,0.97,2.8983504561977433
entropy_vector,20,q0.95,4.139568998342304,0.6130376424368786,0.97,11.53974803718826
entropy_vector,30,q0.95,2.672564791139266,0.3545196166755761,0.97,8.103447270029402
entropy_vector,50,q0.95,1.274620914298577,0.1796916711380545,0.96,5.723195661803089
entropy_vector,20,q0.99,7.6199417432996395,1.132800897464977,0.96,15.575104021658237
entropy_vector,30,q0.99,4.732079514162143,0.6353250178208467,0.96,10.80161733950201
entropy_vector,50,q0.99,2.2211401482521076,0.30795769405343637,0.94,7.553490698178936
entropy_vector,20,sigma,1.3379697515360558,0.20830972422130684,0.96,6.3325436073334105
entropy_vector,30,sigma,0.7876015475996694,0.10857663858178028,0.96,4.321253767247472
entropy_vector,50,sigma,0.36671472642138747,0.050226426858811915,0.98,2.9962220193974916
