setting,target,spearman,same_best,n_methods
beta_ind_poor,mu,0.6571428571428573,False,6
beta_ind_poor,q0.01,0.6571428571428573,True,6
beta_ind_poor,q0.05,0.3714285714285715,True,6
beta_ind_poor,q0.95,0.7714285714285715,True,6
beta_ind_poor,q0.99,0.7142857142857143,True,6
beta_ind_poor,sigma,0.5428571428571429,False,6
beta_ind_well,mu,0.08571428571428573,False,6
beta_ind_well,q0.01,0.7714285714285715,False,6
beta_ind_well,q0.05,0.7714285714285715,False,6
beta_ind_well,q0.95,0.7714285714285715,True,6
beta_ind_well,q0.99,0.7714285714285715,True,6
beta_ind_well,sigma,0.7142857142857143,False,6
probit_dep_poor,mu,0.6,False,5
probit_dep_poor,q0.95,0.8999999999999998,True,5
probit_dep_poor,q0.99,0.7999999999999999,False,5
probit_dep_poor,sigma,0.8999999999999998,True,5
probit_dep_well,mu,0.9999999999999999,True,5
probit_dep_well,q0.95,0.8999999999999998,True,5
probit_dep_well,q0.99,0.9999999999999999,True,5
probit_dep_well,sigma,0.7,True,5
probit_ind_poor,mu,1.0,True,6
probit_ind_poor,q0.95,0.8857142857142858,True,6
probit_ind_poor,q0.99,0.7714285714285715,True,6
probit_ind_poor,sigma,0.6,True,6
probit_ind_well,mu,0.08571428571428573,False,6
probit_ind_well,q0.95,0.14285714285714288,False,6
probit_ind_well,q0.99,0.4285714285714286,False,6
probit_ind_well,sigma,0.942857142857143,True,6
