target,setting,bruceton,dror_steinberg,entropy_mu,entropy_q0.95,entropy_sigma,entropy_vector
mu,beta_ind_poor,0.9740095612730159,1.3875521170572673,1.1016485341634397,2.231802287460281,20.551149485431296,1.2664329731025723
q0.01,beta_ind_poor,8.315690385654595,8.293464853476838,8.2006591280057,17.54824200543242,13.243138567894338,6.852304824262719
q0.05,beta_ind_poor,4.537281686792372,4.414335919379913,4.622641329420783,10.317069695303163,11.70217830695052,3.701384518596085
q0.5,beta_ind_poor,0.9740095612730159,1.3875521170572673,1.1016485341634397,2.231802287460281,20.551149485431296,1.2664329731025723
q0.95,beta_ind_poor,7.4134019304262075,6.149832920383968,8.51869456175797,3.693282866519537,44.540106993883555,5.833152146971754
q0.99,beta_ind_poor,12.582091628123534,10.07832268208791,14.299967879446784,6.9049021725850395,57.560088162026354,9.497623081994732
sigma,beta_ind_poor,1.698189529746648,1.3278578496906335,1.8485205211905582,1.697145070699048,2.5278264727469635,1.194075761600762
mu_SE,beta_ind_poor,0.08375414254613597,0.11346551868088339,0.101861717325691,0.19236705594791673,1.5697704980208285,0.11972813199398125
q0.01_SE,beta_ind_poor,0.7972492857493179,0.9766822848788993,0.781771144410189,1.760876940185751,0.977936481637287,0.6347300277188624
q0.05_SE,beta_ind_poor,0.4022692257618151,0.5030220921106001,0.4203630033903672,0.9743029564590372,0.713697122475832,0.32883293433773025
q0.5_SE,beta_ind_poor,0.08375414254613597,0.11346551868088339,0.101861717325691,0.19236705594791673,1.5697704980208285,0.11972813199398125
q0.95_SE,beta_ind_poor,0.5381157625131868,0.46570322116918716,0.5730313032110342,0.3065531577447459,3.638776797044545,0.49762900295804735
q0.99_SE,beta_ind_poor,0.9045092276192614,0.7868982065735194,0.96753575885305,0.6023892598348691,4.649737149065042,0.7950357803337026
sigma_SE,beta_ind_poor,0.1237451191575263,0.12223824541107074,0.13803891147218797,0.16613773655850747,0.16606675304431104,0.09885199907684135
mu,beta_ind_well,0.9249791858984927,1.275717012251933,0.9635340492020971,2.5508955924818983,0.421302340584534,1.4045401680097547
q0.01,beta_ind_well,13.420938269396425,7.415315352263124,12.49391185640334,15.067301778569998,9.158641261035225,7.758047051886975
q0.05,beta_ind_well,6.294628178867162,3.8447310561807337,6.058311059340656,9.602506942485949,7.2082557251048796,3.8647897366507977
q0.5,beta_ind_well,0.9249791858984927,1.275717012251933,0.9635340492020971,2.5508955924818983,0.421302340584534,1.4045401680097547
q0.95,beta_ind_well,6.825969879917124,4.473674812107304,7.8251277446882055,3.155211888644388,5.682950662599249,5.249548710275316
q0.99,beta_ind_well,12.335340343528795,7.462999236504379,13.955527686236117,5.8792906076304465,12.900023991962092,8.59740183141779
sigma,beta_ind_well,1.9977610642152708,1.0566058445925064,2.131990693971259,1.504985447370436,3.999427444402937,1.1323557205205708
mu_SE,beta_ind_well,0.07925026129476719,0.11110249821361359,0.0927019534345614,0.19025536786605912,0.009464297973819678,0.1309068108289256
q0.01_SE,beta_ind_well,1.3611969378626194,0.6915033767775661,1.4941647552177444,1.3878424815513666,0.045733430888169606,0.8811749780034305
q0.05_SE,beta_ind_well,0.6064433880999833,0.33001014120282846,0.6809737881742965,0.8061091915858188,0.038809407394209,0.40906501565758546
q0.5_SE,beta_ind_well,0.07925026129476719,0.11110249821361359,0.0927019534345614,0.19025536786605912,0.009464297973819678,0.1309068108289256
q0.95_SE,beta_ind_well,0.5320354037291941,0.40146250436262587,0.6670936420161699,0.2536486278928408,0.03644391657363303,0.48289429550491075
q0.99_SE,beta_ind_well,0.9809722477156653,0.6862368643109665,1.2493354473336729,0.4863128827259472,0.05806660138791474,0.8501062434802756
sigma_SE,beta_ind_well,0.17627247909920016,0.09657932145139983,0.22121722844219358,0.1365456866851165,0.005510999126851849,0.13434507546165644
mu,probit_dep_poor,,0.6816614201247471,0.7364871052636731,1.81947325670751,3.0632066548364394,0.9182464286311531
q0.5,probit_dep_poor,,0.6816614201247471,0.7364871052636731,1.81947325670751,3.0632066548364394,0.9182464286311531
q0.95,probit_dep_poor,,2.4822541187609857,3.8524824175571992,1.7357540044191886,6.964369047568958,3.004372208408465
q0.99,probit_dep_poor,,4.433873882175832,6.772502201026822,3.186530453425646,10.05686621217519,5.171358884473296
sigma,probit_dep_poor,,0.761218857107292,1.0245162328960764,0.9445267105904899,0.9201193924168579,0.826778188335556
mu_SE,probit_dep_poor,,0.0535335024941071,0.06893148696321515,0.15463664973044225,0.3871104547242536,0.09096621062005997
q0.5_SE,probit_dep_poor,,0.0535335024941071,0.06893148696321515,0.15463664973044225,0.3871104547242536,0.09096621062005997
q0.95_SE,probit_dep_poor,,0.24522387329658274,0.36416789098985386,0.17152691512593785,0.82225451360536,0.2273861749167303
q0.99_SE,probit_dep_poor,,0.4566773275879604,0.6527860776402217,0.33505282571087713,1.1037829560915002,0.3887412007897018
sigma_SE,probit_dep_poor,,0.07986600206095783,0.10322472858739763,0.09590613416768108,0.06971754645471344,0.0672102890282795
