n,target_p,argmax_r,argmax_x,utility
5,0.5,0.7,30.3118329402365,0.07329368169797423
5,0.9,0.86,33.00320599752479,0.09322089031229402
5,0.95,0.86,33.00320599752479,0.09132643179742245
5,0.99,0.9,33.97200411830268,0.08501578827157297
15,0.5,0.42,28.54751744488625,0.03792782158001873
15,0.9,0.94,37.30245473197303,0.042993305944392324
15,0.95,0.94,37.30245473197303,0.041916053016932464
15,0.99,0.94,37.30245473197303,0.04283251877315469
30,0.5,0.38,29.029249907308607,0.03125561121957032
30,0.9,0.9,34.90372401369552,0.023732181782165962
30,0.95,0.94,35.913884982769765,0.021660230366253252
30,0.99,0.94,35.913884982769765,0.021324881448556765
