mu_true,sigma_true,target,backend,n,coverage,coverage_se,z_vs_nominal,mean_width,median_width,bias,rmse,frac_no_overlap,frac_all_equal,mean_ess
26.0,1.5,mu,particle,150,0.96,0.016000000000000007,0.6250000000000002,2.077507871475399,2.049698012858723,0.0008832478748209146,0.5121444069711552,0.0,0.0,5899.481039958252
26.0,1.5,mu,ref,150,0.96,0.016000000000000007,0.6250000000000002,,,0.0008832478748209146,0.5121444069711552,0.0,0.0,5899.481039958252
26.0,1.5,sigma,particle,150,0.9666666666666667,0.014656562175858798,1.1371470653683586,2.307995135118214,2.2773618076554993,0.049208845176339014,0.44324142957269896,0.0,0.0,5899.481039958252
26.0,1.5,sigma,ref,150,0.9666666666666667,0.014656562175858798,1.1371470653683586,,,0.049208845176339014,0.44324142957269896,0.0,0.0,5899.481039958252
26.0,1.5,q0.5,particle,150,0.96,0.016000000000000007,0.6250000000000002,2.077507871475399,2.049698012858723,0.0008832478748209146,0.5121444069711552,0.0,0.0,5899.481039958252
26.0,1.5,q0.5,ref,150,0.96,0.016000000000000007,0.6250000000000002,,,0.0008832478748209146,0.5121444069711552,0.0,0.0,5899.481039958252
26.0,1.5,q0.95,particle,150,0.92,0.022150996967781528,-1.3543408472149001,4.346561641697736,4.283144133534467,0.0934514996310596,0.8952721501650222,0.0,0.0,5899.481039958252
26.0,1.5,q0.95,ref,150,0.9333333333333333,0.02036700308869262,-0.8183170883849685,,,0.0934514996310596,0.8952721501650222,0.0,0.0,5899.481039958252
26.0,1.5,q0.99,particle,150,0.9266666666666666,0.02128466671190877,-1.0962508198579552,5.7741373123431945,5.7395702369180945,0.12574522205738897,1.154690646919374,0.0,0.0,5899.481039958252
26.0,1.5,q0.99,ref,150,0.94,0.019390719429665325,-0.515710623129397,,,0.12574522205738897,1.154690646919374,0.0,0.0,5899.481039958252
26.0,3.0,mu,particle,150,0.9733333333333334,0.013154354299509981,1.7738106182986595,3.674740227792977,3.545311438078926,0.004100293401838826,0.783637510599371,0.0,0.0,6854.00951819806
26.0,3.0,mu,ref,150,0.98,0.01143095213298817,2.6244532958391202,,,0.004100293401838826,0.783637510599371,0.0,0.0,6854.00951819806
26.0,3.0,sigma,particle,150,0.9466666666666667,0.018346459947155818,-0.1816880936668141,4.44336531641437,4.03795996079792,-0.04878451874848651,0.9195090741055013,0.0,0.0,6854.00951819806
26.0,3.0,sigma,ref,150,0.9533333333333334,0.017221863795553384,0.19355241528469547,,,-0.04878451874848651,0.9195090741055013,0.0,0.0,6854.00951819806
26.0,3.0,q0.5,particle,150,0.9733333333333334,0.013154354299509981,1.7738106182986595,3.674740227792977,3.545311438078926,0.004100293401838826,0.783637510599371,0.0,0.0,6854.00951819806
26.0,3.0,q0.5,ref,150,0.98,0.01143095213298817,2.6244532958391202,,,0.004100293401838826,0.783637510599371,0.0,0.0,6854.00951819806
26.0,3.0,q0.95,particle,150,0.98,0.01143095213298817,2.6244532958391202,8.228765124749607,7.523146252441869,-0.06645548165164468,1.6239242567050394,0.0,0.0,6854.00951819806
26.0,3.0,q0.95,ref,150,0.98,0.01143095213298817,2.6244532958391202,,,-0.06645548165164468,1.6239242567050394,0.0,0.0,6854.00951819806
26.0,3.0,q0.99,particle,150,0.98,0.01143095213298817,2.6244532958391202,11.063475430764859,10.10878992800709,-0.10111748589169767,2.1923987347025413,0.0,0.0,6854.00951819806
