n,coverage,se,nominal,z,stratum,value,target,backend
1,0.0,0.0,0.95,,overlap_status,no_overlap,mu,particle
1349,0.9540400296515937,0.005701212040903637,0.95,0.708626450412365,overlap_status,overlap,mu,particle
1,0.0,0.0,0.95,,overlap_status,no_overlap,mu,ref
1349,0.9540400296515937,0.005701212040903637,0.95,0.708626450412365,overlap_status,overlap,mu,ref
338,0.9674556213017751,0.009651507855548495,0.95,1.808590073492007,info_stratum,Q1,mu,particle
337,0.9495548961424333,0.011922150463514402,0.95,-0.03733419226077098,info_stratum,Q2,mu,particle
337,0.9643916913946587,0.010094561359042693,0.95,1.4256876433532928,info_stratum,Q3,mu,particle
338,0.9319526627218935,0.013697589427222722,0.95,-1.3175557183980873,info_stratum,Q4,mu,particle
338,0.9674556213017751,0.009651507855548495,0.95,1.808590073492007,info_stratum,Q1,mu,ref
337,0.9495548961424333,0.011922150463514402,0.95,-0.03733419226077098,info_stratum,Q2,mu,ref
337,0.9643916913946587,0.010094561359042693,0.95,1.4256876433532928,info_stratum,Q3,mu,ref
338,0.9319526627218935,0.013697589427222722,0.95,-1.3175557183980873,info_stratum,Q4,mu,ref
1,0.0,0.0,0.95,,overlap_status,no_overlap,sigma,particle
1349,0.9503335804299481,0.005915119044571131,0.95,0.05639454209366948,overlap_status,overlap,sigma,particle
1,0.0,0.0,0.95,,overlap_status,no_overlap,sigma,ref
1349,0.9518161601186064,0.005830707638093133,0.95,0.3114819386142928,overlap_status,overlap,sigma,ref
338,0.9467455621301775,0.012213389044149972,0.95,-0.26646476731872526,info_stratum,Q1,sigma,particle
337,0.9851632047477745,0.006585809931933351,0.95,5.3392377112608145,info_stratum,Q2,sigma,particle
337,0.9287833827893175,0.014009832351020768,0.95,-1.5144090720783396,info_stratum,Q3,sigma,particle
338,0.9378698224852071,0.01312998494309258,0.95,-0.9238531169203115,info_stratum,Q4,sigma,particle
338,0.9497041420118343,0.011887811949677179,0.95,-0.024887505742695156,info_stratum,Q1,sigma,ref
337,0.9851632047477745,0.006585809931933351,0.95,5.3392377112608145,info_stratum,Q2,sigma,ref
337,0.9317507418397626,0.013736746719930498,0.95,-1.3284992824217772,info_stratum,Q3,sigma,ref
338,0.9378698224852071,0.01312998494309258,0.95,-0.9238531169203115,info_stratum,Q4,sigma,ref
1,0.0,0.0,0.95,,overlap_status,no_overlap,q0.5,particle
1349,0.9540400296515937,0.005701212040903637,0.95,0.708626450412365,overlap_status,overlap,q0.5,particle
