n,coverage,se,nominal,z,stratum,value,target,policy,backend
228,0.9649122807017544,0.012185800489276179,0.95,1.223742397134897,overlap_status,no_overlap,mu,uniform_grid,ref
372,0.9381720430107527,0.012487118171348554,0.95,-0.9472127056814619,overlap_status,overlap,mu,uniform_grid,ref
193,0.927461139896373,0.01867044072547259,0.95,-1.2071948613873134,info_stratum,Q1,mu,uniform_grid,ref
225,0.9466666666666667,0.014979821818980193,0.95,-0.22252156091134523,info_stratum,Q2,mu,uniform_grid,ref
169,0.9763313609467456,0.011693429748443451,0.95,2.251808195987208,info_stratum,Q3,mu,uniform_grid,ref
13,0.9230769230769231,0.07390530175619404,0.95,-0.36429154990657203,info_stratum,Q4,mu,uniform_grid,ref
203,0.9507389162561576,0.015189189403652272,0.95,0.04864751083951557,ess_stratum,Q1,mu,uniform_grid,ref
206,0.9514563106796117,0.014973633712012725,0.95,0.09725833472494914,ess_stratum,Q2,mu,uniform_grid,ref
145,0.9379310344827586,0.02003727716323458,0.95,-0.6023256263274185,ess_stratum,Q3,mu,uniform_grid,ref
46,0.9565217391304348,0.030068003252527148,0.95,0.21689964164436887,ess_stratum,Q4,mu,uniform_grid,ref
228,0.9605263157894737,0.012895584798847698,0.95,0.8162728525824056,overlap_status,no_overlap,sigma,uniform_grid,ref
372,0.9731182795698925,0.008385710698336567,0.95,2.7568658640320614,overlap_status,overlap,sigma,uniform_grid,ref
193,0.9740932642487047,0.01143478394665927,0.95,2.107015258101461,info_stratum,Q1,sigma,uniform_grid,ref
225,0.96,0.013063945294843622,0.95,0.7654655446197435,info_stratum,Q2,sigma,uniform_grid,ref
169,0.9763313609467456,0.011693429748443451,0.95,2.251808195987208,info_stratum,Q3,sigma,uniform_grid,ref
13,0.9230769230769231,0.07390530175619404,0.95,-0.36429154990657203,info_stratum,Q4,sigma,uniform_grid,ref
203,0.9704433497536946,0.011886792495254397,0.95,1.7198373540933205,ess_stratum,Q1,sigma,uniform_grid,ref
206,0.9611650485436893,0.013460982451215273,0.95,0.8294378648923495,ess_stratum,Q2,sigma,uniform_grid,ref
145,0.9655172413793104,0.01515294394489796,0.95,1.024041363561906,ess_stratum,Q3,sigma,uniform_grid,ref
46,1.0,0.0,0.95,,ess_stratum,Q4,sigma,uniform_grid,ref
228,0.9649122807017544,0.012185800489276179,0.95,1.223742397134897,overlap_status,no_overlap,q0.5,uniform_grid,ref
372,0.9381720430107527,0.012487118171348554,0.95,-0.9472127056814619,overlap_status,overlap,q0.5,uniform_grid,ref
193,0.927461139896373,0.01867044072547259,0.95,-1.2071948613873134,info_stratum,Q1,q0.5,uniform_grid,ref
225,0.9466666666666667,0.014979821818980193,0.95,-0.22252156091134523,info_stratum,Q2,q0.5,uniform_grid,ref
169,0.9763313609467456,0.011693429748443451,0.95,2.251808195987208,info_stratum,Q3,q0.5,uniform_grid,ref
13,0.9230769230769231,0.07390530175619404,0.95,-0.36429154990657203,info_stratum,Q4,q0.5,uniform_grid,ref
203,0.9507389162561576,0.015189189403652272,0.95,0.04864751083951557,ess_stratum,Q1,q0.5,uniform_grid,ref
206,0.9514563106796117,0.014973633712012725,0.95,0.09725833472494914,ess_stratum,Q2,q0.5,uniform_grid,ref
145,0.9379310344827586,0.02003727716323458,0.95,-0.6023256263274185,ess_stratum,Q3,q0.5,uniform_grid,ref
46,0.9565217391304348,0.030068003252527148,0.95,0.21689964164436887,ess_stratum,Q4,q0.5,uniform_grid,ref
228,0.9429824561403509,0.015356372406043012,0.95,-0.45697927050059706,overlap_status,no_overlap,q0.95,uniform_grid,ref
372,0.9650537634408602,0.009521480682139512,0.95,1.581031768420041,overlap_status,overlap,q0.95,uniform_grid,ref
193,0.9430051813471503,0.016687684221036437,0.95,-0.4191605354104216,info_stratum,Q1,q0.95,uniform_grid,ref
225,0.9688888888888889,0.011574533324221987,0.95,1.6319352460941332,info_stratum,Q2,q0.95,uniform_grid,ref
169,0.9585798816568047,0.015327681602624245,0.95,0.5597638233388037,info_stratum,Q3,q0.95,uniform_grid,ref
13,0.9230769230769231,0.07390530175619404,0.95,-0.36429154990657203,info_stratum,Q4,q0.95,uniform_grid,ref
203,0.9655172413793104,0.012806575046693225,0.95,1.2116620816052708,ess_stratum,Q1,q0.95,uniform_grid,ref
206,0.9514563106796117,0.014973633712012725,0.95,0.09725833472494914,ess_stratum,Q2,q0.95,uniform_grid,ref
145,0.9448275862068966,0.018960652278417953,0.95,-0.2727972496489968,ess_stratum,Q3,q0.95,uniform_grid,ref
46,0.9782608695652174,0.02150153717594957,0.95,1.3143650769689386,ess_stratum,Q4,q0.95,uniform_grid,ref
228,0.9429824561403509,0.015356372406043012,0.95,-0.45697927050059706,overlap_status,no_overlap,q0.99,uniform_grid,ref
372,0.967741935483871,0.009160674745920397,0.95,1.9367498547824995,overlap_status,overlap,q0.99,uniform_grid,ref
193,0.9585492227979274,0.014348116496675067,0.95,0.59584286201667,info_stratum,Q1,q0.99,uniform_grid,ref
225,0.9644444444444444,0.012345283944296095,0.95,1.1700374417972188,info_stratum,Q2,q0.99,uniform_grid,ref
169,0.9526627218934911,0.016335328579814623,0.95,0.16300387717829218,info_stratum,Q3,q0.99,uniform_grid,ref
13,0.9230769230769231,0.07390530175619404,0.95,-0.36429154990657203,info_stratum,Q4,q0.99,uniform_grid,ref
203,0.9605911330049262,0.01365583442267442,0.95,0.7755756753567891,ess_stratum,Q1,q0.99,uniform_grid,ref
206,0.9563106796116505,0.014241427956990266,0.95,0.44312126780468064,ess_stratum,Q2,q0.99,uniform_grid,ref
145,0.9517241379310345,0.017800678640775572,0.95,0.0968579887221323,ess_stratum,Q3,q0.99,uniform_grid,ref
46,0.9782608695652174,0.02150153717594957,0.95,1.3143650769689386,ess_stratum,Q4,q0.99,uniform_grid,ref
228,0.956140350877193,0.013562069833364283,0.95,0.45275912546085095,overlap_status,no_overlap,mu,uniform_grid,particle
372,0.9354838709677419,0.01273740133678706,0.95,-1.1396460430538407,overlap_status,overlap,mu,uniform_grid,particle
193,0.9222797927461139,0.01927168405760268,0.95,-1.4383904992957997,info_stratum,Q1,mu,uniform_grid,particle
225,0.9377777777777778,0.016103914953127334,0.95,-0.758959685132255,info_stratum,Q2,mu,uniform_grid,particle
169,0.9763313609467456,0.011693429748443451,0.95,2.251808195987208,info_stratum,Q3,mu,uniform_grid,particle
13,0.9230769230769231,0.07390530175619404,0.95,-0.36429154990657203,info_stratum,Q4,mu,uniform_grid,particle
203,0.9458128078817734,0.015889231773362447,0.95,-0.26352388699158086,ess_stratum,Q1,mu,uniform_grid,particle
206,0.941747572815534,0.016318891594460982,0.95,-0.5056977758996216,ess_stratum,Q2,mu,uniform_grid,particle
145,0.9379310344827586,0.02003727716323458,0.95,-0.6023256263274185,ess_stratum,Q3,mu,uniform_grid,particle
46,0.9565217391304348,0.030068003252527148,0.95,0.21689964164436887,ess_stratum,Q4,mu,uniform_grid,particle
228,0.8947368421052632,0.02032443278213771,0.95,-2.7190504397891617,overlap_status,no_overlap,sigma,uniform_grid,particle
372,0.9650537634408602,0.009521480682139512,0.95,1.581031768420041,overlap_status,overlap,sigma,uniform_grid,particle
193,0.9689119170984456,0.01249281949265101,0.95,1.5138229692321024,info_stratum,Q1,sigma,uniform_grid,particle
225,0.9288888888888889,0.017134023460504844,0.95,-1.2321163887614435,info_stratum,Q2,sigma,uniform_grid,particle
169,0.9289940828402367,0.01975651744579946,0.95,-1.0632398760252901,info_stratum,Q3,sigma,uniform_grid,particle
13,0.7692307692307693,0.11685454235580768,0.95,-1.5469593832203001,info_stratum,Q4,sigma,uniform_grid,particle
203,0.9261083743842364,0.01836033061504371,0.95,-1.3012633659324029,ess_stratum,Q1,sigma,uniform_grid,particle
206,0.9223300970873787,0.01864815890521637,0.95,-1.4837873836907995,ess_stratum,Q2,sigma,uniform_grid,particle
145,0.9586206896551724,0.0165398292573879,0.95,0.5212078988857671,ess_stratum,Q3,sigma,uniform_grid,particle
46,1.0,0.0,0.95,,ess_stratum,Q4,sigma,uniform_grid,particle
228,0.956140350877193,0.013562069833364283,0.95,0.45275912546085095,overlap_status,no_overlap,q0.5,uniform_grid,particle
372,0.9354838709677419,0.01273740133678706,0.95,-1.1396460430538407,overlap_status,overlap,q0.5,uniform_grid,particle
193,0.9222797927461139,0.01927168405760268,0.95,-1.4383904992957997,info_stratum,Q1,q0.5,uniform_grid,particle
225,0.9377777777777778,0.016103914953127334,0.95,-0.758959685132255,info_stratum,Q2,q0.5,uniform_grid,particle
169,0.9763313609467456,0.011693429748443451,0.95,2.251808195987208,info_stratum,Q3,q0.5,uniform_grid,particle
13,0.9230769230769231,0.07390530175619404,0.95,-0.36429154990657203,info_stratum,Q4,q0.5,uniform_grid,particle
203,0.9458128078817734,0.015889231773362447,0.95,-0.26352388699158086,ess_stratum,Q1,q0.5,uniform_grid,particle
206,0.941747572815534,0.016318891594460982,0.95,-0.5056977758996216,ess_stratum,Q2,q0.5,uniform_grid,particle
145,0.9379310344827586,0.02003727716323458,0.95,-0.6023256263274185,ess_stratum,Q3,q0.5,uniform_grid,particle
46,0.9565217391304348,0.030068003252527148,0.95,0.21689964164436887,ess_stratum,Q4,q0.5,uniform_grid,particle
228,0.9342105263157895,0.016418488032799494,0.95,-0.961688655658643,overlap_status,no_overlap,q0.95,uniform_grid,particle
372,0.9596774193548387,0.0101991816738039,0.95,0.948842727225339,overlap_status,overlap,q0.95,uniform_grid,particle
193,0.9430051813471503,0.016687684221036437,0.95,-0.4191605354104216,info_stratum,Q1,q0.95,uniform_grid,particle
225,0.9644444444444444,0.012345283944296095,0.95,1.1700374417972188,info_stratum,Q2,q0.95,uniform_grid,particle
169,0.9408284023668639,0.018149660480088193,0.95,-0.5053316365448315,info_stratum,Q3,q0.95,uniform_grid,particle
13,0.9230769230769231,0.07390530175619404,0.95,-0.36429154990657203,info_stratum,Q4,q0.95,uniform_grid,particle
203,0.9507389162561576,0.015189189403652272,0.95,0.04864751083951557,ess_stratum,Q1,q0.95,uniform_grid,particle
206,0.9466019417475728,0.015664365847810943,0.95,-0.21692919365146127,ess_stratum,Q2,q0.95,uniform_grid,particle
145,0.9448275862068966,0.018960652278417953,0.95,-0.2727972496489968,ess_stratum,Q3,q0.95,uniform_grid,particle
46,0.9782608695652174,0.02150153717594957,0.95,1.3143650769689386,ess_stratum,Q4,q0.95,uniform_grid,particle
228,0.9254385964912281,0.01739656154465816,0.95,-1.4118539141037207,overlap_status,no_overlap,q0.99,uniform_grid,particle
372,0.9650537634408602,0.009521480682139512,0.95,1.581031768420041,overlap_status,overlap,q0.99,uniform_grid,particle
193,0.9533678756476683,0.015177288959467456,0.95,0.2219023210708216,info_stratum,Q1,q0.99,uniform_grid,particle
225,0.9555555555555556,0.013738694067401037,0.95,0.40437289951290084,info_stratum,Q2,q0.99,uniform_grid,particle
169,0.9408284023668639,0.018149660480088193,0.95,-0.5053316365448315,info_stratum,Q3,q0.99,uniform_grid,particle
13,0.9230769230769231,0.07390530175619404,0.95,-0.36429154990657203,info_stratum,Q4,q0.99,uniform_grid,particle
203,0.9556650246305419,0.014447012974451792,0.95,0.392124284830369,ess_stratum,Q1,q0.99,uniform_grid,particle
206,0.9368932038834952,0.016941407937790608,0.95,-0.7736544781067404,ess_stratum,Q2,q0.99,uniform_grid,particle
145,0.9517241379310345,0.017800678640775572,0.95,0.0968579887221323,ess_stratum,Q3,q0.99,uniform_grid,particle
46,0.9782608695652174,0.02150153717594957,0.95,1.3143650769689386,ess_stratum,Q4,q0.99,uniform_grid,particle
14,0.7857142857142857,0.10966421051124836,0.95,-1.4980795787415377,overlap_status,no_overlap,mu,entropy_vector,ref
586,0.9488054607508533,0.009104405639477368,0.95,-0.1312045284941049,overlap_status,overlap,mu,entropy_vector,ref
107,0.9439252336448598,0.022241324452375952,0.95,-0.27312970359061534,info_stratum,Q1,mu,entropy_vector,ref
75,0.92,0.03132624033192194,0.95,-0.9576635971035897,info_stratum,Q2,mu,entropy_vector,ref
131,0.9541984732824428,0.01826516871820695,0.95,0.22986227760698077,info_stratum,Q3,mu,entropy_vector,ref
287,0.9477351916376306,0.013137333848969614,0.95,-0.1723948244298398,info_stratum,Q4,mu,entropy_vector,ref
97,0.9072164948453608,0.0294581174512516,0.95,-1.4523502808840003,ess_stratum,Q1,mu,entropy_vector,ref
94,0.9468085106382979,0.023146654282653962,0.95,-0.1378812385897947,ess_stratum,Q2,mu,entropy_vector,ref
155,0.9806451612903225,0.011065852423530408,0.95,2.769344838284556,ess_stratum,Q3,mu,entropy_vector,ref
254,0.937007874015748,0.015243963313808537,0.95,-0.8522800610837985,ess_stratum,Q4,mu,entropy_vector,ref
