mu_true,sigma_true,target,narrowness_threshold,false_certainty_rate,false_certainty_se,n
26.0,1.5,mu,2.3150988158348547,0.04,0.016,150
26.0,3.0,mu,2.3150988158348547,0.006666666666666667,0.006644407283433801,150
26.0,6.0,mu,2.3150988158348547,0.006666666666666667,0.006644407283433801,150
30.0,1.5,mu,2.3150988158348547,0.03333333333333333,0.0146565621758588,150
30.0,3.0,mu,2.3150988158348547,0.006666666666666667,0.006644407283433801,150
30.0,6.0,mu,2.3150988158348547,0.0,0.0,150
34.0,1.5,mu,2.3150988158348547,0.03333333333333333,0.0146565621758588,150
34.0,3.0,mu,2.3150988158348547,0.02666666666666667,0.013154354299509993,150
34.0,6.0,mu,2.3150988158348547,0.0,0.0,150
26.0,1.5,sigma,2.554214219569026,0.013333333333333334,0.009365025558091324,150
26.0,3.0,sigma,2.554214219569026,0.02,0.011430952132988163,150
26.0,6.0,sigma,2.554214219569026,0.006666666666666667,0.006644407283433801,150
30.0,1.5,sigma,2.554214219569026,0.013333333333333334,0.009365025558091324,150
30.0,3.0,sigma,2.554214219569026,0.02666666666666667,0.013154354299509993,150
30.0,6.0,sigma,2.554214219569026,0.006666666666666667,0.006644407283433801,150
34.0,1.5,sigma,2.554214219569026,0.02,0.011430952132988163,150
34.0,3.0,sigma,2.554214219569026,0.02666666666666667,0.013154354299509993,150
34.0,6.0,sigma,2.554214219569026,0.0,0.0,150
26.0,1.5,q0.5,2.3150988158348547,0.04,0.016,150
26.0,3.0,q0.5,2.3150988158348547,0.006666666666666667,0.006644407283433801,150
26.0,6.0,q0.5,2.3150988158348547,0.006666666666666667,0.006644407283433801,150
30.0,1.5,q0.5,2.3150988158348547,0.03333333333333333,0.0146565621758588,150
30.0,3.0,q0.5,2.3150988158348547,0.006666666666666667,0.006644407283433801,150
30.0,6.0,q0.5,2.3150988158348547,0.0,0.0,150
34.0,1.5,q0.5,2.3150988158348547,0.03333333333333333,0.0146565621758588,150
34.0,3.0,q0.5,2.3150988158348547,0.02666666666666667,0.013154354299509993,150
34.0,6.0,q0.5,2.3150988158348547,0.0,0.0,150
26.0,1.5,q0.95,4.854398572403701,0.013333333333333334,0.009365025558091324,150
26.0,3.0,q0.95,4.854398572403701,0.006666666666666667,0.006644407283433801,150
26.0,6.0,q0.95,4.854398572403701,0.013333333333333334,0.009365025558091324,150
30.0,1.5,q0.95,4.854398572403701,0.013333333333333334,0.009365025558091324,150
30.0,3.0,q0.95,4.854398572403701,0.02666666666666667,0.013154354299509993,150
30.0,6.0,q0.95,4.854398572403701,0.006666666666666667,0.006644407283433801,150
34.0,1.5,q0.95,4.854398572403701,0.02,0.011430952132988163,150
34.0,3.0,q0.95,4.854398572403701,0.013333333333333334,0.009365025558091324,150
34.0,6.0,q0.95,4.854398572403701,0.0,0.0,150
26.0,1.5,q0.99,6.435968366126936,0.02,0.011430952132988163,150
26.0,3.0,q0.99,6.435968366126936,0.013333333333333334,0.009365025558091324,150
26.0,6.0,q0.99,6.435968366126936,0.013333333333333334,0.009365025558091324,150
30.0,1.5,q0.99,6.435968366126936,0.006666666666666667,0.006644407283433801,150
30.0,3.0,q0.99,6.435968366126936,0.02666666666666667,0.013154354299509993,150
30.0,6.0,q0.99,6.435968366126936,0.006666666666666667,0.006644407283433801,150
34.0,1.5,q0.99,6.435968366126936,0.013333333333333334,0.009365025558091324,150
34.0,3.0,q0.99,6.435968366126936,0.02,0.011430952132988163,150
34.0,6.0,q0.99,6.435968366126936,0.0,0.0,150
