policy,backend,target,n,ks_stat,ks_p,ks_band_95,chi2_p,rank_mean,rank_mean_se,coverage,coverage_se,passes_ks_05
uniform_grid,ref,mu,600,0.021835840377808613,0.9311225076394003,0.0554401178449926,0.8678232431976975,0.49842584115525823,0.01185249481366833,0.9483333333333334,0.009036704987828086,True
uniform_grid,ref,sigma,600,0.03724365059023155,0.3670075066177063,0.0554401178449926,0.02320255562869435,0.49021500356958675,0.011721028514724346,0.9683333333333334,0.007148879736118199,True
uniform_grid,ref,q0.5,600,0.021835840377808613,0.9311225076394003,0.0554401178449926,0.8678232431976975,0.49842584115525823,0.01185249481366833,0.9483333333333334,0.009036704987828086,True
uniform_grid,ref,q0.95,600,0.04670486289982656,0.14138532722685204,0.0554401178449926,0.27767080252733306,0.48603620870177905,0.011592893468579953,0.9566666666666667,0.008312195413522988,True
uniform_grid,ref,q0.99,600,0.04576986936540878,0.15693013165823488,0.0554401178449926,0.20658099068601038,0.4867095605714612,0.011593977687770502,0.9583333333333334,0.008157875086438005,True
uniform_grid,particle,mu,600,0.028384283458352755,0.7080089575859811,0.0554401178449926,0.9020042603984212,0.4973829116853481,0.011839374670953556,0.9433333333333334,0.009438887253940082,True
uniform_grid,particle,sigma,600,0.05214296404222585,0.07389447079876343,0.0554401178449926,0.13779246833943923,0.47846425298732564,0.012033423879669122,0.9383333333333334,0.009820377529138826,True
uniform_grid,particle,q0.5,600,0.028384283458352755,0.7080089575859811,0.0554401178449926,0.9020042603984212,0.4973829116853481,0.011839374670953556,0.9433333333333334,0.009438887253940082,True
uniform_grid,particle,q0.95,600,0.060473749719265335,0.023810186090762242,0.0554401178449926,0.5853511967268289,0.4772747764415103,0.011744065964694683,0.95,0.008897565210026097,False
uniform_grid,particle,q0.99,600,0.05152865752693059,0.07979988395629078,0.0554401178449926,0.4783992721184779,0.4776316116910746,0.011778555814665815,0.95,0.008897565210026097,True
entropy_vector,ref,mu,600,0.039374508648435,0.3021144703417361,0.0554401178449926,0.5179892345633155,0.48094156647651004,0.011713199403501656,0.945,0.009307255234493146,True
entropy_vector,ref,sigma,600,0.021486026702882466,0.938942210913372,0.0554401178449926,0.5358328336445013,0.4929889174480571,0.01170353659874159,0.9516666666666667,0.008755685983236098,True
entropy_vector,ref,q0.5,600,0.039374508648435,0.3021144703417361,0.0554401178449926,0.5179892345633155,0.48094156647651004,0.011713199403501656,0.945,0.009307255234493146,True
entropy_vector,ref,q0.95,600,0.03357398664149036,0.4975998636448844,0.0554401178449926,0.6438948516933043,0.48333823168131856,0.011843360566548167,0.9533333333333334,0.008610931897776692,True
entropy_vector,ref,q0.99,600,0.028235387048148153,0.7140831332408757,0.0554401178449926,0.9495796635868713,0.4856957588471288,0.011840628911145986,0.955,0.008463155439905381,True
entropy_vector,particle,mu,600,0.04772464480790961,0.12587409096964752,0.0554401178449926,0.6881511507538118,0.4789669324682579,0.011786186399781731,0.945,0.009307255234493146,True
entropy_vector,particle,sigma,600,0.038361330333780586,0.33191264238404883,0.0554401178449926,0.4231343207589773,0.48757154653620527,0.011981262730235462,0.93,0.010416333327999827,True
entropy_vector,particle,q0.5,600,0.04772464480790961,0.12587409096964752,0.0554401178449926,0.6881511507538118,0.4789669324682579,0.011786186399781731,0.945,0.009307255234493146,True
entropy_vector,particle,q0.95,600,0.04548580738051225,0.16191429576550398,0.0554401178449926,0.8993749053398796,0.4815422005667165,0.011968285242489189,0.945,0.009307255234493146,True
entropy_vector,particle,q0.99,600,0.039843814886494855,0.28896443508401126,0.0554401178449926,0.7679299394575316,0.4830944876203115,0.01200423121229112,0.9383333333333334,0.009820377529138826,True
