mu_true,sigma_true,target,mean_diff_sd_units,sd_ratio,rank_diff,covered_prod,covered_audit,prod_box_width_mu,cells_per_posterior_sd
14.0,0.3,q0.5,1.1497393891946595e-05,1.0000312509650087,9.887675807340734e-06,True,True,22.47600979896729,48.65568203039752
14.0,0.3,q0.95,1.0772483716647001e-05,1.0000303442063554,1.859404745208071e-05,True,True,22.47600979896729,41.55441623152872
14.0,0.3,q0.99,8.980905741438362e-06,1.0000239182265576,3.052537246756026e-05,True,True,22.47600979896729,44.687712221508015
46.0,0.3,q0.5,4.5351284226363485e-09,0.9999999955604489,4.561964274807373e-05,True,True,49.02015544241307,22.368904113382676
46.0,0.3,q0.95,5.168891920589429e-09,0.9999999942324618,2.2029934691539244e-05,True,True,49.02015544241307,31.944563913967734
46.0,0.3,q0.99,5.214630935509887e-09,0.9999999941841388,1.964903615021829e-05,True,True,49.02015544241307,36.723669986148984
34.0,0.3,q0.5,6.430143195564719e-08,1.0000000745328643,0.0006180834621834497,True,True,36.83552686192988,3.3158440474694375
34.0,0.3,q0.95,6.844977664534011e-08,0.9999999510069585,0.00046282113340087583,True,True,36.83552686192988,4.949546105439949
34.0,0.3,q0.99,6.213189866591458e-08,0.9999999413477423,0.00036928605934571923,True,True,36.83552686192988,6.290241396621041
22.0,0.3,q0.5,5.060259458372804e-05,0.999962926379455,0.002376726097105042,True,True,51.61788862220764,2.0360665127497497
22.0,0.3,q0.95,5.971689424073517e-05,0.9999377746514375,0.0005271105213618399,True,True,51.61788862220764,4.506558243889019
22.0,0.3,q0.99,5.703880806915711e-05,0.9999437996147226,0.00040091474480738465,True,True,51.61788862220764,5.924577637201479
14.0,1.2,q0.5,1.1493200018633246e-05,1.0000312448887598,8.302103636448344e-06,True,True,22.482622334948164,48.633344993105084
14.0,1.2,q0.95,1.0762660885955097e-05,1.000030308179309,5.844465817861355e-05,True,True,22.482622334948164,41.56036935600542
14.0,1.2,q0.99,8.967674445260483e-06,1.0000238649058173,3.83555966121385e-05,True,True,22.482622334948164,44.72066435413451
38.0,0.3,q0.5,2.3099459401697783e-06,0.9999982510506719,0.0038155707162157437,True,True,49.306639877929676,1.7445614408342467
38.0,0.3,q0.95,3.3667478097297163e-06,1.000000205956912,5.159923141595524e-05,True,True,49.306639877929676,4.005041298054255
