arm,sigma_true,target,n,n_particles,cov_particle,cov_reference,cov_diff,cov_diff_se,abs_rank_diff,abs_shift_ref_sd,sd_ratio,ess,ess_per_particle,n_resamples
N=10k no-rejuv,0.3,q0.5,150,10000,0.9866666666666667,0.9866666666666667,0.0,0.013378001241813023,0.07510456690926362,0.13807216347427723,0.9793071984491913,26.552567111094824,0.0026552567111094824,0.0
N=10k no-rejuv,0.3,q0.95,150,10000,0.8733333333333333,0.9533333333333334,-0.08,0.024154610122223037,0.09049884641558748,0.1473417570904428,0.9829946908529799,26.552567111094824,0.0026552567111094824,0.0
N=10k no-rejuv,0.3,q0.99,150,10000,0.8666666666666667,0.94,-0.07333333333333333,0.025200168080591882,0.09224732396120576,0.152565801273863,0.9830174032892977,26.552567111094824,0.0026552567111094824,0.0
N=10k no-rejuv,3.0,q0.5,50,10000,0.98,0.98,0.0,0.0,0.00922099302813212,0.02086993357932294,1.00098495072988,865.2172270606902,0.086521722706069,0.0
N=10k no-rejuv,3.0,q0.95,50,10000,0.98,0.98,0.0,0.0,0.008571102613153376,0.01680009630623128,1.0004447300790664,865.2172270606902,0.086521722706069,0.0
N=10k no-rejuv,3.0,q0.99,50,10000,0.98,0.98,0.0,0.0,0.007972960464498486,0.016461430425565776,1.0006134393601043,865.2172270606902,0.086521722706069,0.0
N=10k rejuv,0.3,q0.5,150,10000,0.9666666666666667,0.9866666666666667,-0.02,0.014867046874683928,0.06918616883834258,0.13620546766697708,1.0059127154366914,844.987623841727,0.0844987623841727,5.44
N=10k rejuv,0.3,q0.95,150,10000,0.6466666666666666,0.9533333333333334,-0.30666666666666664,0.038942011229877296,0.14795934506436154,0.4251122346497841,0.9577966510944814,844.987623841727,0.0844987623841727,5.44
N=10k rejuv,0.3,q0.99,150,10000,0.47333333333333333,0.94,-0.4666666666666667,0.04087046889188094,0.15396104961448884,0.46197488394710223,0.948367921627624,844.987623841727,0.0844987623841727,5.44
N=10k rejuv,3.0,q0.5,50,10000,0.98,0.98,0.0,0.0,0.005470553890526411,0.009166074110949768,0.9995846769332563,6602.7433029768845,0.6602743302976886,7.92
N=10k rejuv,3.0,q0.95,50,10000,0.98,0.98,0.0,0.0,0.004302952883938613,0.008635999066339639,0.9959110347213007,6602.7433029768845,0.6602743302976886,7.92
N=10k rejuv,3.0,q0.99,50,10000,0.98,0.98,0.0,0.0,0.004951382518950567,0.008917412066967154,0.9959159076137485,6602.7433029768845,0.6602743302976886,7.92
N=10k rejuv KL=0.02,0.3,q0.5,150,10000,0.96,0.9866666666666667,-0.02666666666666667,0.013198422611556987,0.02874508167603237,0.05701195797585518,0.9759161004963668,2339.899417366788,0.23398994173667878,16.44
N=10k rejuv KL=0.02,0.3,q0.95,150,10000,0.9066666666666666,0.9533333333333334,-0.04666666666666667,0.01969945698536561,0.04746310470626606,0.10335685522340145,0.9724669795693397,2339.899417366788,0.23398994173667878,16.44
N=10k rejuv KL=0.02,0.3,q0.99,150,10000,0.88,0.94,-0.06,0.02361131947094098,0.04485364622779873,0.10797784363620735,0.9698014711830548,2339.899417366788,0.23398994173667878,16.44
N=10k rejuv KL=0.02,3.0,q0.5,50,10000,0.98,0.98,0.0,0.0,0.005223069677711281,0.011331801934225361,0.9975642349965537,6605.0625614848395,0.6605062561484842,12.22
N=10k rejuv KL=0.02,3.0,q0.95,50,10000,0.98,0.98,0.0,0.0,0.008048738959596381,0.020632910607867986,1.004567261010237,6605.0625614848395,0.6605062561484842,12.22
N=10k rejuv KL=0.02,3.0,q0.99,50,10000,0.98,0.98,0.0,0.0,0.0077655079520350554,0.021324926001950142,1.005120543585741,6605.0625614848395,0.6605062561484842,12.22
N=160k rejuv,0.3,q0.5,150,160000,0.98,0.9866666666666667,-0.006666666666666667,0.006666666666666665,0.04348386955596103,0.10638015935413318,1.0028002876573456,7573.98154191232,0.047337384636951994,5.46
N=160k rejuv,0.3,q0.95,150,160000,0.7933333333333333,0.9533333333333334,-0.16,0.030033538300020392,0.09483103737366347,0.24616857010846663,0.9671316031803565,7573.98154191232,0.047337384636951994,5.46
N=160k rejuv,0.3,q0.99,150,160000,0.6933333333333334,0.94,-0.24666666666666667,0.035314713763569344,0.10811425099215725,0.2668222971262978,0.9581138977639735,7573.98154191232,0.047337384636951994,5.46
N=160k rejuv,3.0,q0.5,50,160000,0.98,0.98,0.0,0.0,0.0012720595033296914,0.002654628351864882,0.9999549538688118,103494.6188163397,0.6468413676021231,7.96
N=160k rejuv,3.0,q0.95,50,160000,0.98,0.98,0.0,0.0,0.0011645975149932272,0.0033129497502534726,0.9991277701745888,103494.6188163397,0.6468413676021231,7.96
N=160k rejuv,3.0,q0.99,50,160000,0.98,0.98,0.0,0.0,0.0013107003866775335,0.0035171345960055634,0.9991635328952055,103494.6188163397,0.6468413676021231,7.96
N=40k rejuv,0.3,q0.5,150,40000,0.9533333333333334,0.9866666666666667,-0.03333333333333333,0.014705663024201161,0.045380409680058686,0.12205159538452082,1.0041768938693871,2772.42471394767,0.06931061784869176,5.453333333333333
N=40k rejuv,0.3,q0.95,150,40000,0.68,0.9533333333333334,-0.2733333333333333,0.03651075250486204,0.10711962073833042,0.3241268337993884,0.9573231083112054,2772.42471394767,0.06931061784869176,5.453333333333333
N=40k rejuv,0.3,q0.99,150,40000,0.6133333333333333,0.94,-0.32666666666666666,0.038421501561652305,0.11790245303206148,0.3511203732158553,0.949088008898122,2772.42471394767,0.06931061784869176,5.453333333333333
N=40k rejuv,3.0,q0.5,50,40000,0.98,0.98,0.0,0.0,0.0023966272539967096,0.005710165699112504,0.9994787603148252,26159.410991116478,0.653985274777912,7.98
N=40k rejuv,3.0,q0.95,50,40000,0.98,0.98,0.0,0.0,0.0027510917759583507,0.00605727866038144,1.0000431766046969,26159.410991116478,0.653985274777912,7.98
N=40k rejuv,3.0,q0.99,50,40000,0.98,0.98,0.0,0.0,0.003075068255416954,0.006158520147959744,1.0001492996067325,26159.410991116478,0.653985274777912,7.98
