mechanism,mu_true,sigma_true,n_generated,n_no_overlap,rate,rate_se
steep_in_support,18.0,0.3,340,210,0.6176470588235294,0.02635499559466149
steep_in_support,22.0,0.3,340,186,0.5470588235294118,0.026995940170156506
steep_in_support,26.0,0.3,340,206,0.6058823529411764,0.02650132778780317
steep_in_support,30.0,0.3,340,152,0.4470588235294118,0.026963877352199208
steep_in_support,34.0,0.3,340,186,0.5470588235294118,0.026995940170156506
steep_in_support,38.0,0.3,340,174,0.5117647058823529,0.027108799943902615
steep_in_support,42.0,0.3,340,206,0.6058823529411764,0.02650132778780317
truth_at_or_outside_grid,14.0,0.3,160,160,1.0,0.0
truth_at_or_outside_grid,14.0,0.6,160,160,1.0,0.0
truth_at_or_outside_grid,14.0,1.2,160,156,0.975,0.012342761036332193
truth_at_or_outside_grid,46.0,0.3,160,160,1.0,0.0
truth_at_or_outside_grid,46.0,0.6,160,160,1.0,0.0
truth_at_or_outside_grid,46.0,1.2,160,159,0.99375,0.006230438136680266
