mu_true,sigma_true,n,n_no_overlap,all_equal,rate,se
14.0,0.3,30,30,0,1.0,0.0
14.0,0.6,30,30,0,1.0,0.0
14.0,1.2,30,30,0,1.0,0.0
14.0,3.0,30,7,0,0.23333333333333334,0.07722022379508468
14.0,6.0,30,0,0,0.0,0.0
14.0,12.0,30,0,0,0.0,0.0
18.0,0.3,30,16,0,0.5333333333333333,0.09108400680852977
18.0,0.6,30,6,0,0.2,0.07302967433402216
18.0,1.2,30,0,0,0.0,0.0
18.0,3.0,30,0,0,0.0,0.0
18.0,6.0,30,0,0,0.0,0.0
18.0,12.0,30,0,0,0.0,0.0
22.0,0.3,30,15,0,0.5,0.09128709291752768
22.0,0.6,30,2,0,0.06666666666666667,0.04554200340426488
22.0,1.2,30,0,0,0.0,0.0
22.0,3.0,30,0,0,0.0,0.0
22.0,6.0,30,0,0,0.0,0.0
22.0,12.0,30,0,0,0.0,0.0
26.0,0.3,30,21,0,0.7,0.08366600265340757
26.0,0.6,30,2,0,0.06666666666666667,0.04554200340426488
26.0,1.2,30,0,0,0.0,0.0
26.0,3.0,30,0,0,0.0,0.0
26.0,6.0,30,0,0,0.0,0.0
26.0,12.0,30,0,0,0.0,0.0
30.0,0.3,30,13,0,0.43333333333333335,0.09047201327032126
30.0,0.6,30,0,0,0.0,0.0
30.0,1.2,30,0,0,0.0,0.0
30.0,3.0,30,0,0,0.0,0.0
30.0,6.0,30,0,0,0.0,0.0
30.0,12.0,30,0,0,0.0,0.0
34.0,0.3,30,20,0,0.6666666666666666,0.08606629658238704
34.0,0.6,30,2,0,0.06666666666666667,0.04554200340426488
34.0,1.2,30,0,0,0.0,0.0
34.0,3.0,30,0,0,0.0,0.0
34.0,6.0,30,0,0,0.0,0.0
34.0,12.0,30,0,0,0.0,0.0
38.0,0.3,30,12,0,0.4,0.08944271909999159
38.0,0.6,30,2,0,0.06666666666666667,0.04554200340426488
38.0,1.2,30,0,0,0.0,0.0
38.0,3.0,30,0,0,0.0,0.0
38.0,6.0,30,0,0,0.0,0.0
38.0,12.0,30,0,0,0.0,0.0
42.0,0.3,30,12,0,0.4,0.08944271909999159
42.0,0.6,30,3,0,0.1,0.05477225575051661
42.0,1.2,30,0,0,0.0,0.0
42.0,3.0,30,0,0,0.0,0.0
42.0,6.0,30,0,0,0.0,0.0
42.0,12.0,30,0,0,0.0,0.0
46.0,0.3,30,30,30,1.0,0.0
46.0,0.6,30,30,30,1.0,0.0
46.0,1.2,30,29,10,0.9666666666666667,0.0327730693416725
46.0,3.0,30,5,0,0.16666666666666666,0.06804138174397717
46.0,6.0,30,1,0,0.03333333333333333,0.032773069341672505
46.0,12.0,30,0,0,0.0,0.0
