cell,block,dgp,pol,prior_name,scale,n,backend,target,n_rep,coverage,coverage_se,bias,rmse,mean_width,median_width,w_star,frac_narrow,false_certainty,false_certainty_se,delta,curve_scale,dangerous_error,dangerous_error_se,decision_loss_10to1,unresolved_rate,frac_all_equal,x_min_mean,x_max_mean,target_true,target_outside_sampled
II|beta_cdf|entropy_q0.95|shifted|s3,II,beta_cdf,entropy_q0.95,shifted,s3,20,particle,q0.5,22,0.9545454545454546,0.04440947367810882,0.331504743896017,1.6773048198259795,7.590471260990513,7.794993168286391,,0.0,,,1.950355972450423,3.900711944900846,0.09090909090909091,0.061290896587567464,5.971927564632824,0.0,0.0,21.22613065326633,35.283691183188665,29.355858727356058,0.0
II|beta_cdf|entropy_q0.95|shifted|s3,II,beta_cdf,entropy_q0.95,shifted,s3,20,particle,q0.95,22,1.0,0.0,-1.1169626158942934,1.9979246958064643,10.002442096837695,9.338463290204631,,0.0,,,1.950355972450423,3.900711944900846,0.2727272727272727,0.09495144870310791,13.794808203340246,0.0,0.0,21.22613065326633,35.283691183188665,36.2741309468711,1.0
II|beta_cdf|entropy_q0.95|shifted|s3,II,beta_cdf,entropy_q0.95,shifted,s3,20,particle,q0.99,22,1.0,0.0,-1.4982098159878516,2.738745704292412,14.677805568831458,13.919195937508714,,0.0,,,1.950355972450423,3.900711944900846,0.5,0.10660035817780522,19.36339196754798,0.0,0.0,21.22613065326633,35.283691183188665,38.92787333480589,1.0
II|beta_cdf|entropy_q0.95|shifted|s3,II,beta_cdf,entropy_q0.95,shifted,s3,30,particle,q0.5,22,0.9090909090909091,0.06129089658756747,0.3326065685816534,1.612654578165481,6.279213987198247,6.115954689902342,,0.0,,,1.950355972450423,3.900711944900846,0.09090909090909091,0.061290896587567464,5.874397186186963,0.0,0.0,19.806304248515303,35.5011420740064,29.355858727356058,0.0
II|beta_cdf|entropy_q0.95|shifted|s3,II,beta_cdf,entropy_q0.95,shifted,s3,30,particle,q0.95,22,0.9545454545454546,0.04440947367810882,-1.047746086062123,2.0564831849375804,7.240649003766484,6.445733492274547,,0.0,,,1.950355972450423,3.900711944900846,0.36363636363636365,0.10255928633050294,14.566347804133704,0.0,0.0,19.806304248515303,35.5011420740064,36.2741309468711,1.0
II|beta_cdf|entropy_q0.95|shifted|s3,II,beta_cdf,entropy_q0.95,shifted,s3,30,particle,q0.99,22,1.0,0.0,-1.415034379742959,2.7639866313749795,10.507207459197996,9.308962085840575,,0.0,,,1.950355972450423,3.900711944900846,0.45454545454545453,0.10615894693111677,19.720041437083793,0.0,0.0,19.806304248515303,35.5011420740064,38.92787333480589,1.0
II|beta_cdf|entropy_q0.95|shifted|s3,II,beta_cdf,entropy_q0.95,shifted,s3,50,particle,q0.5,22,0.9545454545454546,0.04440947367810882,0.17147370218702288,1.1747489421180688,5.194609845223116,5.475769797442343,2.5238625928067258,0.0,0.0,0.0,1.950355972450423,3.900711944900846,0.0,0.0,4.737528170634994,0.0,0.0,19.3905893101873,35.661032434901784,29.355858727356058,0.0
II|beta_cdf|entropy_q0.95|shifted|s3,II,beta_cdf,entropy_q0.95,shifted,s3,50,particle,q0.95,22,0.8181818181818182,0.08223036670302644,-0.7355067657634006,1.6352700626189223,5.457016037334015,5.353283513709595,4.962188850452113,0.4090909090909091,0.18181818181818182,0.08223036670302644,1.950355972450423,3.900711944900846,0.2727272727272727,0.09495144870310791,10.923357790024731,0.0,0.0,19.3905893101873,35.661032434901784,36.2741309468711,1.0
II|beta_cdf|entropy_q0.95|shifted|s3,II,beta_cdf,entropy_q0.95,shifted,s3,50,particle,q0.99,22,0.8181818181818182,0.08223036670302644,-0.9084867387644696,2.2881874880925515,7.8434730849790375,7.695798251232997,6.505481304742142,0.3181818181818182,0.18181818181818182,0.08223036670302644,1.950355972450423,3.900711944900846,0.3181818181818182,0.09930260198923899,14.741235153830774,0.0,0.0,19.3905893101873,35.661032434901784,38.92787333480589,1.0
II|beta_cdf|entropy_q0.95|shifted|s3,II,beta_cdf,entropy_q0.95,shifted,s3,50,ref,q0.5,22,0.9545454545454546,0.04440947367810882,0.009961719788681737,1.1873502174143886,5.189833297359525,5.477558192017158,2.5238625928067258,0.0,0.0,0.0,1.950355972450423,3.900711944900846,0.045454545454545456,0.04440947367810884,5.533782543958261,0.0,0.0,19.3905893101873,35.661032434901784,29.355858727356058,0.0
