dgp,pol,n_rep,coverage,coverage_se,bias,bias_se,x_max_mean,frac_above_onset,design_kl_nats,design_kl_nats_se,max_power_bound,expected_flips,realized_flips_mean,frac_zero_flips,log_bf_oracle_median,log_bf_guessable_median,evidence_max_boundary_mass,power_lr_oracle,power_lr_oracle_se,power_ppc_chi2,power_ppc_chi2_se,power_ppc_tail,power_ppc_tail_se,power_bf_oracle,power_bf_oracle_se,power_bf_guessable,power_bf_guessable_se
probit,entropy_q0.95,200,0.97,0.012092607484694706,0.2352151944708391,0.10005131682786134,37.21527638190955,0.7026,0.0,0.0,0.05,0.0,0.0,1.0,-0.036860265809563586,0.15365617493214323,2.600651370283159e-10,0.05,0.015449707678033373,0.05,0.015449707678033373,0.055,0.016161092305986408,0.05,0.015449707678033373,0.05,0.015449707678033373
robit_1.0,entropy_q0.95,200,0.575,0.03504304603451139,-3.6380828436075814,0.16601922792082627,38.456984924623114,0.737,0.9100992731671838,0.03456552165563955,0.6959431474374642,1.34571509718968,1.33,0.245,0.036199761685624665,0.19312779923758328,8.751827938241288e-10,0.055,0.016161092305986408,0.05,0.015449707678033373,0.05,0.015449707678033373,0.08,0.019231465004808025,0.105,0.02173099585625386
tail_0.5,entropy_q0.95,200,0.795,0.028617649261360224,-1.5937736412757397,0.15475749893300886,38.06301507537688,0.7184,0.5194673260945933,0.023231394131766617,0.5237468922957478,0.8616968110522898,0.855,0.455,0.08301261883209587,0.18518383237136327,8.751827938241288e-10,0.075,0.018671317319682114,0.045,0.014695399751940973,0.08,0.01923146500480802,0.11,0.02218016679366895,0.065,0.017475754920753817
tail_1.0,entropy_q0.95,200,0.56,0.03518793763172075,-3.5491927668224834,0.20251122021245144,38.64763819095478,0.7254999999999999,1.5493204653621715,0.07562213391671814,0.7780664774046755,1.3618317960705884,1.38,0.285,0.12185529012628216,0.19527706297073344,8.751827938241288e-10,0.105,0.021730995856253866,0.065,0.017475754920753817,0.09,0.02028688711815402,0.145,0.024959766620478316,0.105,0.021730995856253862
probit,entropy_vector,200,0.97,0.012092607484694706,0.28410581220848896,0.12083532554511109,35.70201005025125,0.2843,0.0,0.0,0.05,0.0,0.0,1.0,0.01081777783797122,0.11057237898295291,5.2324389582897675e-14,0.05,0.015449707678033373,0.065,0.017475754920753817,0.05,0.015449707678033373,0.05,0.015449707678033373,0.05,0.015449707678033373
robit_1.0,entropy_vector,200,0.59,0.034865138597849225,-4.217530197684958,0.16869754885009633,36.36050251256282,0.3101,0.40404288263353694,0.021558575032011282,0.46701661387485705,1.124939927320112,1.04,0.385,0.0436931091268935,0.14798278145781651,2.280568000789072e-13,0.055,0.016161092305986408,0.07,0.018086892447072265,0.04,0.013891177924157585,0.05,0.015449707678033373,0.04,0.013891177924157585
tail_0.5,entropy_vector,200,0.79,0.028873315391699354,-2.1231042387810466,0.155781072863683,36.089648241206035,0.2961,0.1360988934460764,0.011622526103852452,0.2605326627965143,0.3072667148730677,0.34,0.75,0.036942546533216714,0.11169180529352474,2.280568000789072e-13,0.045,0.014695399751940971,0.06,0.016834995854681276,0.045,0.014695399751940973,0.05,0.015449707678033373,0.035,0.013027801736688053
tail_1.0,entropy_vector,200,0.425,0.03504304603451139,-4.756596195845558,0.18730624058758505,36.26693467336683,0.3018,0.35308691565219463,0.0321466977069795,0.3814918081248384,0.4832923184622823,0.555,0.655,0.042696031636653586,0.11326257325972477,2.280568000789072e-13,0.04,0.013891177924157585,0.05,0.015449707678033373,0.04,0.013891177924157585,0.045,0.014695399751940973,0.03,0.012092607484694706
probit,fixed_design,200,0.95,0.015449707678033374,1.378344156139824,0.19637261800741077,33.60000000000001,0.2,0.0,0.0,0.05,0.0,0.0,1.0,0.041901002455839276,0.25013614353800406,6.771084346929388e-12,0.05,0.015449707678033373,0.05,0.015449707678033373,0.055,0.016161092305986408,0.05,0.015449707678033373,0.05,0.015449707678033373
robit_1.0,fixed_design,200,0.765,0.03005647949775547,-3.196886406569463,0.22641736077768515,33.60000000000001,0.2,0.06828062758694964,0.0,0.23477097659934273,0.6640382543528807,0.66,0.51,0.04746542463541026,0.2501618548787299,9.521056294485506e-12,0.04,0.013891177924157585,0.05,0.015449707678033373,0.07,0.01808689244707226,0.03,0.012092607484694706,0.045,0.014695399751940973
tail_0.5,fixed_design,200,0.85,0.025312121949531207,-1.3819057583793963,0.2066034337087397,33.60000000000001,0.2,0.0026981913636447453,0.0,0.08673003786851265,0.07481462028439023,0.09,0.915,0.05091773314115322,0.24146825681006234,6.771084346929388e-12,0.045,0.014695399751940973,0.05,0.015449707678033373,0.065,0.017475754920753817,0.05,0.015449707678033373,0.045,0.014695399751940973
tail_1.0,fixed_design,200,0.635,0.034127679271557736,-4.244140555807444,0.2104091674097078,33.60000000000001,0.2,0.006050804099030413,6.148564340033441e-20,0.1050036548741555,0.11253969220524575,0.13,0.875,0.062167452233367726,0.2417111565244987,6.771084346929388e-12,0.05,0.015449707678033373,0.05,0.015449707678033373,0.065,0.017475754920753817,0.055,0.016161092305986408,0.045,0.014695399751940973
probit,uniform_grid,200,0.925,0.018671317319682114,0.05624196681486412,0.16748998781555624,43.501206030150755,0.3834,0.0,0.0,0.05,0.0,0.0,1.0,-0.20538583435920632,0.019615105941471533,8.863111323836498e-07,0.05,0.015449707678033373,0.05,0.015449707678033373,0.05,0.015449707678033373,0.05,0.015449707678033373,0.05,0.015449707678033373
robit_1.0,uniform_grid,200,0.805,0.028085923439997253,-2.7836828068979647,0.2331158210250169,43.54693467336684,0.3883,1.4180100468749626,0.01058884186513398,0.8907515042115571,0.9711529121190136,1.01,0.385,-0.06880314400764131,0.30911127651827286,1.3913216014102966e-05,0.16,0.02598801424545766,0.205,0.02861764926136022,0.185,0.027525684670556598,0.175,0.026935153843310675,0.23,0.029832025555495197
tail_0.5,uniform_grid,200,0.86,0.024597258498217655,-2.076368771547078,0.19709520667256075,43.52793969849247,0.38420000000000004,0.28048616297491674,0.00448278207785928,0.4221131272130616,0.3024804878128437,0.265,0.775,-0.06988658234777301,0.05109130478282431,2.9692293941276366e-07,0.115,0.02261486592496228,0.075,0.018671317319682114,0.1,0.021266436150250076,0.12,0.023035912535249357,0.08,0.019231465004808025
tail_1.0,uniform_grid,200,0.705,0.03232801420614268,-3.5782611179803347,0.22879406437169944,43.50824120603014,0.3883,1.1338238293967524,0.016564412314443958,0.7989263672160688,0.6005608379126868,0.625,0.54,0.15129646864235013,0.14502113767489178,3.7691881322481955e-06,0.23,0.029832025555495197,0.16,0.02598801424545766,0.2,0.02835524820033344,0.275,0.031652557907861936,0.175,0.026935153843310675
