fit_r_prior,dgp,design,design_r_prior,n,target,n_pairs,width_ratio_mean,width_ratio_median,width_ratio_se,width_probit_mean,width_robit_mean,coverage_gain,coverage_gain_se
heavy_tail,probit,mi2,,50,q0.5,6,1.1730197486409188,1.185290756241149,0.02412098044344782,3.3832111308410204,3.9685304257283005,0.0,0.0
heavy_tail,probit,mi2,,100,q0.5,6,1.2174550759332334,1.2086839380524448,0.01478062836680375,2.1827761835171877,2.655427155483745,0.0,0.0
heavy_tail,probit,mi2,,200,q0.5,6,1.2591242862865188,1.2671636807248259,0.01443544132916986,1.446805547001737,1.8220814361407196,0.0,0.0
near_probit,probit,mi2,,50,q0.5,6,1.023480463279439,1.025786124421896,0.0028236105950106578,3.3832111308410204,3.4626294302673037,0.0,0.0
near_probit,probit,mi2,,100,q0.5,6,1.0275059448443344,1.0266800285501596,0.00140974794138575,2.1827761835171877,2.242586929299612,0.0,0.0
near_probit,probit,mi2,,200,q0.5,6,1.0309399455909707,1.031032291245662,0.0012740098566393135,1.446805547001737,1.4915851986261692,0.0,0.0
reference_uniform,probit,mi2,,50,q0.5,6,1.1198922676230276,1.1297512891209154,0.015786675183049752,3.3832111308410204,3.7899234965724045,0.0,0.0
reference_uniform,probit,mi2,,100,q0.5,6,1.151718896264314,1.1494112148993114,0.008824413336959951,2.1827761835171877,2.5133634086549903,0.0,0.0
reference_uniform,probit,mi2,,200,q0.5,6,1.1762606388106167,1.1748573312200705,0.0072737266382722895,1.446805547001737,1.7019777967104421,0.0,0.0
heavy_tail,probit,mi2,,50,q0.95,6,1.4705758478889237,1.480158290828462,0.022234248254357596,6.580885688460438,9.638718452287634,0.0,0.0
heavy_tail,probit,mi2,,100,q0.95,6,1.4631940714770646,1.4955787660862354,0.032956283261586575,3.9441348077172074,5.771927186394977,0.0,0.0
heavy_tail,probit,mi2,,200,q0.95,6,1.5327716113724554,1.5551536372016883,0.02960515404977522,2.539617093472266,3.894527857459783,0.0,0.0
near_probit,probit,mi2,,50,q0.95,6,1.0488102843323324,1.048172790089697,0.0027188771216231536,6.580885688460438,6.897267714461203,0.0,0.0
