replicate,r_prior,n_r,build_seconds,boundary_mass,q0.5_dmean_sd,q0.5_dsd_sd,q0.95_dmean_sd,q0.95_dsd_sd,q0.99_dmean_sd,q0.99_dsd_sd,max_delta_sd,rich_err_sd
0,reference_uniform,5,1.1478283405303955,2.4579868918672216e-15,0.0004726230695115317,0.0007661640414524098,0.004930608349458802,0.008649068622660879,0.019034094575301624,0.04329020763314988,0.04329020763314988,0.010639707564231785
0,reference_uniform,9,2.2959518432617188,2.4561846035349855e-15,0.00011657007965696497,0.00018908830857824639,0.0012193738416112327,0.0021543769945830504,0.004712390625553384,0.011019356740654978,0.011019356740654978,0.0027844740153739112
0,reference_uniform,17,4.517002582550049,2.4557331971442423e-15,2.7743245978124003e-05,4.5009265610009324e-05,0.0002903997781150876,0.0005140022294700934,0.0011225852009423306,0.0026438495038015606,0.0026438495038015606,0.0007043128570861026
0,reference_uniform,33,9.048134326934814,2.4556202934013704e-15,5.548073765299501e-06,9.001266385859757e-06,5.808358738645109e-05,0.00010285334877387468,0.00022454642623580392,0.0005297915156151838,0.0005297915156151838,0.00017659717187172794
0,reference_uniform,65,18.066828966140747,2.4555920642035066e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,near_probit,5,1.175705909729004,3.3314873251597405e-15,0.0057894651325876,0.012480435520954021,0.03917691849736065,0.022661263131342726,0.11293519043321702,0.03460082475602591,0.11293519043321702,0.025508408843297196
0,near_probit,9,2.3515591621398926,3.382120899066871e-15,0.0019148782539159315,0.004113700930165833,0.012946798347159148,0.007135481352890444,0.037100823460661694,0.00902786687036341,0.037100823460661694,0.009190427332078146
0,near_probit,17,4.714117765426636,3.4008269170876055e-15,0.0004957547614872044,0.001063528169779881,0.0033512094304490453,0.001817694311988515,0.009588613196692958,0.0021425094514564286,0.009588613196692958,0.002544253830379879
0,near_probit,33,9.41245412826538,3.4060367891979227e-15,0.00010133506041665691,0.00021730444948244603,0.0006849726810418715,0.0003699213396927695,0.0019591132805556713,0.0004273125796128828,0.0019591132805556713,0.0006530377601852238
0,near_probit,65,18.86649775505066,3.4073760123704084e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,heavy_tail,5,1.1446075439453125,1.291899758675015e-15,0.0034218044080917163,0.005572459083553317,0.02587266808196723,0.020606579995357286,0.08024640163676908,0.07083388826035553,0.08024640163676908,0.019518923728877754
0,heavy_tail,9,2.2748708724975586,1.282649844214777e-15,0.0008689507615639932,0.0014192560103303872,0.00659796304764427,0.005417626807410295,0.020531904292177657,0.019771004010249022,0.020531904292177657,0.0051748190567555375
